fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1500575,,UTC,2026-01-10T19:00:00+00:00,1768071600,1768071600,1768075200,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,True,7852,Anápolis,https://media.api-sports.io/football/teams/7852.png,False,2,0,1,0,2,0,,,,
1500577,,UTC,2026-01-10T19:00:00+00:00,1768071600,1768071600,1768075200,,,Ouvidor,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,23306,ABECAT Ouvidorense,https://media.api-sports.io/football/teams/23306.png,False,142,Vila Nova,https://media.api-sports.io/football/teams/142.png,True,1,2,0,2,1,2,,,,
1500576,,UTC,2026-01-10T21:15:00+00:00,1768079700,1768079700,1768083300,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,16465,Jataiense,https://media.api-sports.io/football/teams/16465.png,,10671,CRAC,https://media.api-sports.io/football/teams/10671.png,,1,1,0,1,1,1,,,,
1500578,,UTC,2026-01-11T13:00:00+00:00,1768136400,1768136400,1768140000,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,7820,Anapolina,https://media.api-sports.io/football/teams/7820.png,True,20708,Inhumas,https://media.api-sports.io/football/teams/20708.png,False,1,0,0,0,1,0,,,,
1500574,,UTC,2026-01-11T18:30:00+00:00,1768156200,1768156200,1768159800,,Jaime Guerra,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,22097,Centro Oeste,https://media.api-sports.io/football/teams/22097.png,,1202,Aparecidense,https://media.api-sports.io/football/teams/1202.png,,0,0,0,0,0,0,,,,
1500579,,UTC,2026-01-11T19:00:00+00:00,1768158000,1768158000,1768161600,,,Goiania,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,151,Goias,https://media.api-sports.io/football/teams/151.png,True,18296,Goiatuba EC,https://media.api-sports.io/football/teams/18296.png,False,4,0,2,0,4,0,,,,
1500583,,UTC,2026-01-14T21:30:00+00:00,1768426200,1768426200,1768429800,,,Goiatuba,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,18296,Goiatuba EC,https://media.api-sports.io/football/teams/18296.png,,16465,Jataiense,https://media.api-sports.io/football/teams/16465.png,,1,1,0,0,1,1,,,,
1500582,,UTC,2026-01-14T23:30:00+00:00,1768433400,1768433400,1768437000,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,7852,Anápolis,https://media.api-sports.io/football/teams/7852.png,,22097,Centro Oeste,https://media.api-sports.io/football/teams/22097.png,,1,1,0,0,1,1,,,,
1500581,,UTC,2026-01-14T23:40:00+00:00,1768434000,1768434000,1768437600,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,142,Vila Nova,https://media.api-sports.io/football/teams/142.png,True,7820,Anapolina,https://media.api-sports.io/football/teams/7820.png,False,3,2,2,0,3,2,,,,
1500580,,UTC,2026-01-15T21:30:00+00:00,1768512600,1768512600,1768516200,,,Inhumas,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,20708,Inhumas,https://media.api-sports.io/football/teams/20708.png,False,23306,ABECAT Ouvidorense,https://media.api-sports.io/football/teams/23306.png,True,0,1,0,1,0,1,,,,
1500585,,UTC,2026-01-15T22:30:00+00:00,1768516200,1768516200,1768519800,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,10671,CRAC,https://media.api-sports.io/football/teams/10671.png,,151,Goias,https://media.api-sports.io/football/teams/151.png,,0,0,0,0,0,0,,,,
1500584,,UTC,2026-01-15T23:40:00+00:00,1768520400,1768520400,1768524000,,,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,1202,Aparecidense,https://media.api-sports.io/football/teams/1202.png,False,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,True,1,2,0,2,1,2,,,,
1500586,,UTC,2026-01-17T18:30:00+00:00,1768674600,1768674600,1768678200,,Jaime Guerra,,Match Finished,FT,90,628,Goiano - 1,Brazil,https://media.api-sports.io/football/leagues/628.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 3,22097,Centro Oeste,https://media.api-sports.io/football/teams/22097.png,False,16465,Jataiense,https://media.api-sports.io/football/teams/16465.png,True,0,3,0,2,0,3,,,,
