fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1145665,Braulio da Silva Machado,UTC,2024-01-20T19:30:00+00:00,1705779000,1705779000,1705782600,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,140,Criciuma,https://media.api-sports.io/football/teams/140.png,True,137,Figueirense,https://media.api-sports.io/football/teams/137.png,False,4,1,1,0,4,1,,,,
1145666,Willian Machado Steffens,UTC,2024-01-20T21:30:00+00:00,1705786200,1705786200,1705789800,247,Arena Joinville,"Joinville, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,795,Joinville,https://media.api-sports.io/football/teams/795.png,False,10677,Marcílio Dias,https://media.api-sports.io/football/teams/10677.png,True,2,3,1,0,2,3,,,,
1145667,Julio Cesar Pfleger,UTC,2024-01-20T22:30:00+00:00,1705789800,1705789800,1705793400,227,Arena Condá,"Chapecó, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,132,Chapecoense-sc,https://media.api-sports.io/football/teams/132.png,True,7828,Hercílio Luz,https://media.api-sports.io/football/teams/7828.png,False,1,0,0,0,1,0,,,,
1145668,Franciel dos Santos Martins,UTC,2024-01-21T19:00:00+00:00,1705863600,1705863600,1705867200,5673,Estádio Vidal Ramos Júnior,"Lages, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,7844,Internacional SC,https://media.api-sports.io/football/teams/7844.png,,12300,Concórdia,https://media.api-sports.io/football/teams/12300.png,,0,0,0,0,0,0,,,,
1145669,Charly Wendy Straub Deretti,UTC,2024-01-21T21:00:00+00:00,1705870800,1705870800,1705874400,7313,Estádio Doutor Hercílio Luz,"Itajaí, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,18271,Barra,https://media.api-sports.io/football/teams/18271.png,False,1211,Brusque,https://media.api-sports.io/football/teams/1211.png,True,1,3,1,2,1,3,,,,
1145670,Igor da Silva Albuquerque,UTC,2024-01-21T22:00:00+00:00,1705874400,1705874400,1705878000,214,Estádio Aderbal Ramos da Silva,"Florianópolis, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,145,Avai,https://media.api-sports.io/football/teams/145.png,True,19637,Nação,https://media.api-sports.io/football/teams/19637.png,False,3,2,2,1,3,2,,,,
1145671,Diego da Costa Cidral,UTC,2024-01-24T22:00:00+00:00,1706133600,1706133600,1706137200,7834,Estádio Domingos Machado de Lima,"Concórdia, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 2,12300,Concórdia,https://media.api-sports.io/football/teams/12300.png,False,140,Criciuma,https://media.api-sports.io/football/teams/140.png,True,1,2,0,1,1,2,,,,
1145672,Gustavo Ervino Bauermann,UTC,2024-01-24T23:00:00+00:00,1706137200,1706137200,1706140800,7126,Estádio Orlando Scarpelli,"Florianópolis, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 2,137,Figueirense,https://media.api-sports.io/football/teams/137.png,,795,Joinville,https://media.api-sports.io/football/teams/795.png,,1,1,0,1,1,1,,,,
1145675,Rafael Traci,UTC,2024-01-24T23:30:00+00:00,1706139000,1706139000,1706142600,,Estádio Eduardo Zeferino Tiago,"Balneário Camboriú, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 2,1211,Brusque,https://media.api-sports.io/football/teams/1211.png,,132,Chapecoense-sc,https://media.api-sports.io/football/teams/132.png,,0,0,0,0,0,0,,,,
1145673,Dioneglei da Silva Vianna,UTC,2024-01-25T00:30:00+00:00,1706142600,1706142600,1706146200,7313,Estádio Doutor Hercílio Luz,"Itajaí, Santa Catarina",Match Finished,FT,90,604,Catarinense - 1,Brazil,https://media.api-sports.io/football/leagues/604.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 2,10677,Marcílio Dias,https://media.api-sports.io/football/teams/10677.png,True,7844,Internacional SC,https://media.api-sports.io/football/teams/7844.png,False,2,1,1,1,2,1,,,,
