fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1500362,,UTC,2026-01-06T22:00:00+00:00,1767736800,1767736800,1767740400,,,,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,13089,Maracanã,https://media.api-sports.io/football/teams/13089.png,False,1195,Ferroviario,https://media.api-sports.io/football/teams/1195.png,True,0,1,0,0,0,1,,,,
1500363,,UTC,2026-01-07T22:00:00+00:00,1767823200,1767823200,1767826800,,,Horizonte,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,12297,Horizonte,https://media.api-sports.io/football/teams/12297.png,,24093,Quixada,https://media.api-sports.io/football/teams/24093.png,,0,0,0,0,0,0,,,,
1500364,,UTC,2026-01-07T22:00:00+00:00,1767823200,1767823200,1767826800,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,18799,Tirol/CEFAT,https://media.api-sports.io/football/teams/18799.png,False,7774,Floresta,https://media.api-sports.io/football/teams/7774.png,True,0,2,0,2,0,2,,,,
1500365,,UTC,2026-01-08T22:00:00+00:00,1767909600,1767909600,1767913200,,Estadio Antonio Moreno de Mello,Iguatu,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 1,15505,Iguatu,https://media.api-sports.io/football/teams/15505.png,True,13090,Maranguape,https://media.api-sports.io/football/teams/13090.png,False,2,0,2,0,2,0,,,,
1500366,,UTC,2026-01-10T19:30:00+00:00,1768073400,1768073400,1768077000,,,Horizonte,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,7774,Floresta,https://media.api-sports.io/football/teams/7774.png,False,129,Ceara,https://media.api-sports.io/football/teams/129.png,True,0,1,0,0,0,1,,,,
1500367,,UTC,2026-01-10T22:00:00+00:00,1768082400,1768082400,1768086000,,Estadio Abilhao,Quixada,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,24093,Quixada,https://media.api-sports.io/football/teams/24093.png,True,13089,Maracanã,https://media.api-sports.io/football/teams/13089.png,False,1,0,0,0,1,0,,,,
1500368,,UTC,2026-01-11T19:00:00+00:00,1768158000,1768158000,1768161600,,Estadio Moraisao,Maranguape,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,13090,Maranguape,https://media.api-sports.io/football/teams/13090.png,True,18799,Tirol/CEFAT,https://media.api-sports.io/football/teams/18799.png,False,1,0,1,0,1,0,,,,
1500369,,UTC,2026-01-11T21:00:00+00:00,1768165200,1768165200,1768168800,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 2,1195,Ferroviario,https://media.api-sports.io/football/teams/1195.png,,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,,0,0,0,0,0,0,,,,
1500370,,UTC,2026-01-13T22:00:00+00:00,1768341600,1768341600,1768345200,,,,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 3,13089,Maracanã,https://media.api-sports.io/football/teams/13089.png,False,12297,Horizonte,https://media.api-sports.io/football/teams/12297.png,True,1,2,0,1,1,2,,,,
1500371,,UTC,2026-01-14T22:00:00+00:00,1768428000,1768428000,1768431600,,Estadio Antonio Moreno de Mello,Iguatu,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 3,15505,Iguatu,https://media.api-sports.io/football/teams/15505.png,,18799,Tirol/CEFAT,https://media.api-sports.io/football/teams/18799.png,,0,0,0,0,0,0,,,,
1500372,,UTC,2026-01-15T00:30:00+00:00,1768437000,1768437000,1768440600,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 3,129,Ceara,https://media.api-sports.io/football/teams/129.png,True,13090,Maranguape,https://media.api-sports.io/football/teams/13090.png,False,1,0,0,0,1,0,,,,
1500373,,UTC,2026-01-15T23:30:00+00:00,1768519800,1768519800,1768523400,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 3,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,True,24093,Quixada,https://media.api-sports.io/football/teams/24093.png,False,4,0,2,0,4,0,,,,
1500374,,UTC,2026-01-16T22:00:00+00:00,1768600800,1768600800,1768604400,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 4,1195,Ferroviario,https://media.api-sports.io/football/teams/1195.png,,12297,Horizonte,https://media.api-sports.io/football/teams/12297.png,,2,2,1,1,2,2,,,,
1500375,,UTC,2026-01-17T19:30:00+00:00,1768678200,1768678200,1768681800,,Estadio Presidente Vargas,Fortaleza,Match Finished,FT,90,609,Cearense - 1,Brazil,https://media.api-sports.io/football/leagues/609.png,https://media.api-sports.io/flags/br.svg,2026,Regular Season - 4,129,Ceara,https://media.api-sports.io/football/teams/129.png,,15505,Iguatu,https://media.api-sports.io/football/teams/15505.png,,1,1,0,0,1,1,,,,
