wikipedia_article,country,team_id,name,method
Rionegro Águilas,COL,8000031,Rionegro Águilas,synthetic (not in any API season paired)
Rosario Central,ARG,437,Rosario Central,kick-off pairing
Royal Pari FC,BOL,3709,Royal Pari,same name and country as a paired club
San Lorenzo de Almagro,ARG,460,San Lorenzo,kick-off pairing
Santa Cruz Futebol Clube,BRA,753,Santa Cruz,Brazilian name
Santiago Wanderers,CHI,8000032,Santiago Wanderers,synthetic (not in any API season paired)
Santos FC,BRA,128,Santos,Brazilian name
Sociedad Deportiva Aucas,ECU,1156,Aucas,same name and country as a paired club
Sociedade Esportiva Palmeiras,BRA,121,Palmeiras,Brazilian name
Sport Boys Warnes,BOL,8000033,Sport Boys,synthetic (not in any API season paired)
Sport Club Corinthians Paulista,BRA,131,Corinthians,Brazilian name
Sport Club Internacional,BRA,119,Internacional,Brazilian name
Sport Club do Recife,BRA,123,Sport Recife,Brazilian name
Sport Huancayo,PER,2555,Sport Huancayo,kick-off pairing
Sport Rosario,PER,8000034,Sport Rosario,synthetic (not in any API season paired)
Sporting Cristal,PER,2546,Sporting Cristal,kick-off pairing
Sportivo Luqueño,PAR,1183,Sportivo Luqueño,kick-off pairing
São Paulo FC,BRA,126,Sao Paulo,Brazilian name
The Strongest,BOL,3711,The Strongest,kick-off pairing
Tigres UANL,MEX,8000035,Tigres UANL,synthetic (not in any API season paired)
Toluca FC,MEX,8000036,Toluca,synthetic (not in any API season paired)
Trujillanos FC,VEN,8000037,Trujillanos,synthetic (not in any API season paired)
Universidad Católica del Ecuador,ECU,1157,Universidad Católica,same name and country as a paired club
Universidad Técnica de Cajamarca,PER,2539,UTC,kick-off pairing
Universitario de Sucre,BOL,8000038,Universitario,synthetic (not in any API season paired)
Unión Comercio,PER,8000039,Unión Comercio,synthetic (not in any API season paired)
Unión Española,CHI,2321,Unión Española,kick-off pairing
Unión La Calera,CHI,2326,Unión La Calera,kick-off pairing
Unión de Santa Fe,ARG,441,Unión,kick-off pairing
Zamora FC,VEN,2806,Zamora,same name and country as a paired club
Zulia F.C.,VEN,8000040,Zulia,synthetic (not in any API season paired)
Zulia FC,VEN,8000041,Zulia,synthetic (not in any API season paired)
Águilas Doradas,COL,1144,Águilas Doradas,kick-off pairing
Águilas Pereira,COL,8000042,Águilas Pereira,synthetic (not in any API season paired)
