fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
1149600,C. Ortega,UTC,2024-02-07T00:30:00+00:00,1707265800,1707265800.0,1707269400.0,1654.0,Estadio Polideportivo Misael Delgado,Valencia,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,2827,Puerto Cabello,https://media.api-sports.io/football/teams/2827.png,True,2350,Defensor Sporting,https://media.api-sports.io/football/teams/2350.png,False,3.0,2.0,2.0,1.0,3.0,2.0,,,,,,,
1149602,Paulo Cesar Zanovelli da Silva,UTC,2024-02-08T00:30:00+00:00,1707352200,1707352200.0,1707355800.0,2438.0,Estadio Félix Capriles,Cochabamba,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,3637,Aurora,https://media.api-sports.io/football/teams/3637.png,True,2554,FBC Melgar,https://media.api-sports.io/football/teams/2554.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
1149604,P. Maza,UTC,2024-02-09T00:30:00+00:00,1707438600,1707438600.0,1707442200.0,19380.0,Estadio Cooprogreso Gonzalo Pozo Ripalda,Quito,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,1156,Aucas,https://media.api-sports.io/football/teams/1156.png,True,1175,Nacional Asuncion,https://media.api-sports.io/football/teams/1175.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
1149601,C. Benitez,UTC,2024-02-14T00:30:00+00:00,1707870600,1707870600.0,1707874200.0,1624.0,Estadio Centenario,Montevideo,Match Finished,PEN,120.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,2350,Defensor Sporting,https://media.api-sports.io/football/teams/2350.png,False,2827,Puerto Cabello,https://media.api-sports.io/football/teams/2827.png,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,,,
1149603,A. Matonte,UTC,2024-02-15T00:30:00+00:00,1707957000,1707957000.0,1707960600.0,1235.0,Estadio de la Universidad Nacional San Agustín,Arequipa,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,2554,FBC Melgar,https://media.api-sports.io/football/teams/2554.png,,3637,Aurora,https://media.api-sports.io/football/teams/3637.png,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
1149605,Anderson Daronco,UTC,2024-02-16T00:30:00+00:00,1708043400,1708043400.0,1708047000.0,11622.0,Estadio Defensores del Chaco,Asunción,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,1st Round,1175,Nacional Asuncion,https://media.api-sports.io/football/teams/1175.png,True,1156,Aucas,https://media.api-sports.io/football/teams/1156.png,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,,,,
1149598,A. Aragón,UTC,2024-02-20T22:00:00+00:00,1708466400,1708466400.0,1708470000.0,2851.0,Estadio Nacional Brígido Iriarte,Caracas,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,2nd Round,2814,Portuguesa FC,https://media.api-sports.io/football/teams/2814.png,False,2318,Palestino,https://media.api-sports.io/football/teams/2318.png,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,
1149590,G. Tejera,UTC,2024-02-21T00:30:00+00:00,1708475400,1708475400.0,1708479000.0,380.0,Estadio Atanasio Girardot,Medellín,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,2nd Round,1144,Rionegro Aguilas,https://media.api-sports.io/football/teams/1144.png,,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1149592,A. Herrera,UTC,2024-02-21T00:30:00+00:00,1708475400,1708475400.0,1708479000.0,2487.0,Estadio Municipal El Alto,El Alto,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,2nd Round,3700,Always Ready,https://media.api-sports.io/football/teams/3700.png,True,2546,Sporting Cristal,https://media.api-sports.io/football/teams/2546.png,False,6.0,1.0,1.0,1.0,6.0,1.0,,,,,,,
1174580,Braulio da Silva Machado,UTC,2024-02-21T22:00:00+00:00,1708552800,1708552800.0,1708556400.0,1654.0,Estadio Polideportivo Misael Delgado,Valencia,Match Finished,FT,90.0,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,,2024,2nd Round,2827,Puerto Cabello,https://media.api-sports.io/football/teams/2827.png,False,2356,Club Nacional,https://media.api-sports.io/football/teams/2356.png,True,0.0,2.0,0.0,2.0,0.0,2.0,,,,,,,
