fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
819362,A. Menéndez,UTC,2022-03-08T22:15:00+00:00,1646777700,1646777700.0,1646781300.0,11622.0,Estadio Defensores del Chaco,Asunción,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,1177,SOL DE America,https://media.api-sports.io/football/teams/1177.png,False,1181,General Caballero,https://media.api-sports.io/football/teams/1181.png,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,,,,
819356,I. Méndez,UTC,2022-03-08T22:15:00+00:00,1646777700,1646777700.0,1646781300.0,1657.0,Estadio Olímpico Metropolitano de Mérida,Mérida,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,2818,Estudiantes de Merida FC,https://media.api-sports.io/football/teams/2818.png,False,2825,Metropolitanos FC,https://media.api-sports.io/football/teams/2825.png,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,,,,
819354,J. Méndez,UTC,2022-03-08T22:15:00+00:00,1646777700,1646777700.0,1646781300.0,2488.0,Estadio Ramón Aguilera Costas,Santa Cruz de la Sierra,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,3709,Royal Pari,https://media.api-sports.io/football/teams/3709.png,False,3707,Oriente Petrolero,https://media.api-sports.io/football/teams/3707.png,True,2.0,3.0,1.0,1.0,2.0,3.0,,,,,,,
819358,L. Quiroz,UTC,2022-03-09T00:30:00+00:00,1646785800,1646785800.0,1646789400.0,333.0,Estadio Bicentenario Municipal Nelson Oyarzún,Chillán,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,2337,Nublense,https://media.api-sports.io/football/teams/2337.png,,2326,Union La Calera,https://media.api-sports.io/football/teams/2326.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
819360,N. Gamboa,UTC,2022-03-09T00:30:00+00:00,1646785800,1646785800.0,1646789400.0,1233.0,Estadio Inca Garcilaso de la Vega,Cusco,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,2562,Cienciano,https://media.api-sports.io/football/teams/2562.png,,2554,FBC Melgar,https://media.api-sports.io/football/teams/2554.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,
819364,Y. Herrera,UTC,2022-03-09T22:15:00+00:00,1646864100,1646864100.0,1646867700.0,1624.0,Estadio Centenario,Montevideo,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,2358,Liverpool Montevideo,https://media.api-sports.io/football/teams/2358.png,False,2351,CA River Plate,https://media.api-sports.io/football/teams/2351.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,
819366,Flavio Rodrigues De Souza,UTC,2022-03-10T00:30:00+00:00,1646872200,1646872200.0,1646875800.0,380.0,Estadio Atanasio Girardot,Medellín,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,1128,Independiente Medellin,https://media.api-sports.io/football/teams/1128.png,True,1138,America de Cali,https://media.api-sports.io/football/teams/1138.png,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,,,,
819368,C. Betancur,UTC,2022-03-10T00:30:00+00:00,1646872200,1646872200.0,1646875800.0,474.0,Estadio Bellavista de Ambato,Ambato,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,1162,Mushuc Runa SC,https://media.api-sports.io/football/teams/1162.png,False,1158,LDU de Quito,https://media.api-sports.io/football/teams/1158.png,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,
819370,P. Maza,UTC,2022-03-10T00:30:00+00:00,1646872200,1646872200.0,1646875800.0,1239.0,Estadio Huancayo,Huancayo,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,2542,Ayacucho FC,https://media.api-sports.io/football/teams/2542.png,True,2544,Sport Boys,https://media.api-sports.io/football/teams/2544.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,,,,
819374,K. Ortega,UTC,2022-03-10T22:15:00+00:00,1646950500,1646950500.0,1646954100.0,11622.0,Estadio Defensores del Chaco,Asunción,Match Finished,FT,90.0,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,,2022,1st Round,1175,Nacional Asuncion,https://media.api-sports.io/football/teams/1175.png,False,2138,Guairena FC,https://media.api-sports.io/football/teams/2138.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
