fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
74811,,UTC,2019-02-05T23:30:00+00:00,1549409400,1549409400.0,1549413000.0,,"Estádio Governador Alberto Tavares Silva (Teresina, Piauí)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2221,River AC,https://media.api-sports.io/football/teams/2221.png,False,124,Fluminense,https://media.api-sports.io/football/teams/124.png,True,0.0,5.0,0.0,3.0,0.0,5.0,,,,,,,
74823,,UTC,2019-02-06T18:00:00+00:00,1549476000,1549476000.0,1549479600.0,,Arena Plínio Marin,Votuporanga,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2230,Votuporanguense,https://media.api-sports.io/football/teams/2230.png,False,1221,Ypiranga-RS,https://media.api-sports.io/football/teams/1221.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
74786,,UTC,2019-02-06T21:15:00+00:00,1549487700,1549487700.0,1549491300.0,,"Estádio Governador Alberto Tavares Silva (Teresina, Piauí)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,1203,Altos,https://media.api-sports.io/football/teams/1203.png,False,128,Santos,https://media.api-sports.io/football/teams/128.png,True,1.0,7.0,1.0,5.0,1.0,7.0,,,,,,,
74800,,UTC,2019-02-06T22:30:00+00:00,1549492200,1549492200.0,1549495800.0,,Estádio do ABC,Foz do Iguaçu,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2212,Foz Do Iguacu,https://media.api-sports.io/football/teams/2212.png,True,153,BOA,https://media.api-sports.io/football/teams/153.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
74818,,UTC,2019-02-06T22:30:00+00:00,1549492200,1549492200.0,1549495800.0,,"Estádio Augustinho Pires de Lima (Sobradinho, Distrito Federal)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2226,Sobradinho EC,https://media.api-sports.io/football/teams/2226.png,,2233,America-RN,https://media.api-sports.io/football/teams/2233.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
74812,,UTC,2019-02-06T23:00:00+00:00,1549494000,1549494000.0,1549497600.0,,"Arena das Dunas (Natal, Rio Grande do Norte)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2222,Santa Cruz RN,https://media.api-sports.io/football/teams/2222.png,True,796,Tupi,https://media.api-sports.io/football/teams/796.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
74797,,UTC,2019-02-06T23:30:00+00:00,1549495800,1549495800.0,1549499400.0,,"Estádio Artur Marinho (Corumbá, Mato Grosso do Sul)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,1206,Corumbaense,https://media.api-sports.io/football/teams/1206.png,,752,Luverdense,https://media.api-sports.io/football/teams/752.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
74803,,UTC,2019-02-06T23:30:00+00:00,1549495800,1549495800.0,1549499400.0,,"Estádio Adauto Moraes (Juazeiro, Bahia)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,1224,Juazeirense,https://media.api-sports.io/football/teams/1224.png,,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,,2.0,2.0,0.0,1.0,2.0,2.0,,,,,,,
74788,,UTC,2019-02-06T23:30:00+00:00,1549495800,1549495800.0,1549499400.0,,"Estádio Estadual Lourival Baptista (Aracaju, Sergipe)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2204,AO Itabaiana,https://media.api-sports.io/football/teams/2204.png,False,122,Parana,https://media.api-sports.io/football/teams/122.png,True,2.0,5.0,0.0,3.0,2.0,5.0,,,,,,,
74805,,UTC,2019-02-06T23:30:00+00:00,1549495800,1549495800.0,1549499400.0,,"Arena Pantanal (Cuiabá, Mato Grosso)",,Match Finished,FT,90.0,73,Copa Do Brasil,Brazil,https://media.api-sports.io/football/leagues/73.png,https://media.api-sports.io/flags/br.svg,2019,1st Round,2215,Mixto,https://media.api-sports.io/football/teams/2215.png,True,150,CSA,https://media.api-sports.io/football/teams/150.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
