fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1180417,Kleber Ariel Gonçalves da Silva,UTC,2024-06-01T19:00:00+00:00,1717268400,1717268400,1717272000,281,Estádio Manoel Barradas,"Salvador, Bahia",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,True,0,2,0,1,0,2,,,,
1180418,Matheus Delgado Candançan,UTC,2024-06-01T21:30:00+00:00,1717277400,1717277400,1717281000,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,,152,Juventude,https://media.api-sports.io/football/teams/152.png,,1,1,1,0,1,1,,,,
1180423,Anderson Ribeiro Gonçalves,UTC,2024-06-01T21:30:00+00:00,1717277400,1717277400,1717281000,235,Arena Pantanal,"Cuiabá, Mato Grosso",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,False,119,Internacional,https://media.api-sports.io/football/teams/119.png,True,0,1,0,0,0,1,,,,
1180420,Anderson Daronco,UTC,2024-06-02T00:00:00+00:00,1717286400,1717286400,1717290000,11531,Neo Química Arena,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,131,Corinthians,https://media.api-sports.io/football/teams/131.png,False,120,Botafogo,https://media.api-sports.io/football/teams/120.png,True,0,1,0,0,0,1,,,,
1180419,Braulio da Silva Machado,UTC,2024-06-02T19:00:00+00:00,1717354800,1717354800,1717358400,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,False,127,Flamengo,https://media.api-sports.io/football/teams/127.png,True,1,6,1,3,1,6,,,,
1180424,Rafael Rodrigo Klein,UTC,2024-06-02T19:00:00+00:00,1717354800,1717354800,1717358400,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,140,Criciuma,https://media.api-sports.io/football/teams/140.png,False,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,1,2,0,0,1,2,,,,
1180416,Bruno Arleu de Araujo,UTC,2024-06-02T19:00:00+00:00,1717354800,1717354800,1717358400,21427,Arena MRV,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,,118,Bahia,https://media.api-sports.io/football/teams/118.png,,1,1,0,0,1,1,,,,
1180421,Lucas Torezin,UTC,2024-06-02T21:30:00+00:00,1717363800,1717363800,1717367400,20813,MorumBIS,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,False,2,0,1,0,2,0,,,,
1180422,João Gobi,UTC,2024-06-02T21:30:00+00:00,1717363800,1717363800,1717367400,237,Estádio Municipal Presidente Getúlio Vargas,"Fortaleza, Ceará",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 7,True,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,False,1,0,1,0,1,0,,,,
1180404,Raphael Claus,UTC,2024-06-05T22:00:00+00:00,1717624800,1717624800,1717628400,248,Estádio Alfredo Jaconi,"Caxias do Sul, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 5,True,152,Juventude,https://media.api-sports.io/football/teams/152.png,True,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,False,1,0,1,0,1,0,,,,
