knob,level,season,matches,diff,ci_low,ci_high
sudeste_gap,25,2016,375,-0.0009611792204550922,-0.002085332494328742,0.00015103908000565285
sudeste_gap,25,2017,378,-0.0004373029042283809,-0.0014628756728171535,0.0006129825293986193
sudeste_gap,25,2018,377,-8.121523124100296e-05,-0.0009832954351543432,0.0008285178270859255
sudeste_gap,25,2019,376,-0.0006073398844851087,-0.0019182905777124382,0.0007248157877746647
sudeste_gap,25,2020,377,-0.00026445966731005274,-0.0016838228149664394,0.0011574323046953635
sudeste_gap,25,2021,377,-0.0009518886502777426,-0.0020351899634995572,0.0001460990966849701
sudeste_gap,25,2022,377,-0.00037533928248755996,-0.0016620360581382956,0.0009077452345543684
sudeste_gap,25,2023,373,0.0005732319577836436,-0.0008690522805934244,0.0020319623822676455
sudeste_gap,25,2024,376,-0.0005246595512522534,-0.0017910698890099904,0.0007581749821929138
sudeste_gap,25,2025,374,-0.0011525462126535499,-0.0023909855020673703,0.00012928234928476516
sudeste_gap,50,2016,375,-0.001489244495246495,-0.0037261826337472246,0.0007281460492397225
sudeste_gap,50,2017,378,-0.0005977325747619957,-0.0026450514690508284,0.0014953801395673457
sudeste_gap,50,2018,377,0.00012068904479114322,-0.0016824368865884613,0.0019425141340083773
sudeste_gap,50,2019,376,-0.00062702651861348,-0.0032369401798391702,0.002030526663649408
sudeste_gap,50,2020,377,3.999966986974864e-05,-0.0027837007652411695,0.002877771546066801
sudeste_gap,50,2021,377,-0.0015224707249620972,-0.0036820771827084722,0.0006577310657013676
sudeste_gap,50,2022,377,-0.0002512242948220901,-0.0028167619445521024,0.002300435839402654
sudeste_gap,50,2023,373,0.0017286857042845512,-0.0011404428179870752,0.004631705565922417
sudeste_gap,50,2024,376,-0.0005822893040564123,-0.0031067917780646204,0.001981449915137769
sudeste_gap,50,2025,374,-0.0017958757717388553,-0.004270465028112198,0.0007599512342697953
sudeste_gap,75,2016,375,-0.0015891291433302855,-0.004949753545129507,0.0017447495884014613
sudeste_gap,75,2017,378,-0.0004847432949736023,-0.0035480441056917294,0.0026453981901512526
sudeste_gap,75,2018,377,0.0006023309824259159,-0.0021035876406070063,0.0033314073911168162
sudeste_gap,75,2019,376,-6.578984818297271e-05,-0.0039494028488908615,0.0039005118885839527
sudeste_gap,75,2020,377,0.0009012470202030193,-0.0033201552286177,0.005146238998500766
sudeste_gap,75,2021,377,-0.0017190688270264994,-0.004942377583168406,0.0015437222407866686
sudeste_gap,75,2022,377,0.00035706173578002153,-0.0034727189175496995,0.004171022747131091
sudeste_gap,75,2023,373,0.0034489987631824647,-0.0008564474525612525,0.007796075322946698
sudeste_gap,75,2024,376,-0.00018390526889627037,-0.003946401735322497,0.003641471318660783
sudeste_gap,75,2025,374,-0.0019409445077658127,-0.005652937930072392,0.0018755179097416752
sudeste_gap,100,2016,375,-0.0012684887554802174,-0.005741606020074072,0.0031668656487240008
sudeste_gap,100,2017,378,-0.00010300749446600992,-0.004164884756451078,0.004052774787529863
sudeste_gap,100,2018,377,0.0013592124205460958,-0.0022556722601990964,0.00501364422456861
sudeste_gap,100,2019,376,0.0010446187738683552,-0.0041112695070070725,0.0063334863938260925
sudeste_gap,100,2020,377,0.0023023302294591865,-0.003285105655139922,0.00793920522098895
sudeste_gap,100,2021,377,-0.001551119834950754,-0.005843728010508435,0.002779910975040501
sudeste_gap,100,2022,377,0.001430686193554144,-0.003635185809241203,0.006470559265629378
sudeste_gap,100,2023,373,0.005719483433063884,-1.8007944936788747e-05,0.011499925655093095
sudeste_gap,100,2024,376,0.0006580134471350776,-0.004331575002698642,0.0057171320929677106
sudeste_gap,100,2025,374,-0.0016187036199322973,-0.006539015106187579,0.0034477212538797947
