date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
14/05/2016,Flamengo,Sport Recife,1,0,home,0.53,0.272,0.19899999999999998
14/05/2016,Palmeiras,Atletico Paranaense,4,0,home,0.521,0.247,0.231
14/05/2016,Coritiba,Cruzeiro,1,0,home,0.47200000000000003,0.268,0.26
14/05/2016,Atletico-MG,Santos,1,0,home,0.402,0.23399999999999999,0.364
15/05/2016,Botafogo,Sao Paulo,0,1,away,0.491,0.284,0.225
15/05/2016,Corinthians,Gremio,0,0,draw,0.5820000000000001,0.221,0.19699999999999998
15/05/2016,Internacional,Chapecoense-sc,0,0,draw,0.659,0.226,0.115
15/05/2016,Figueirense,Ponte Preta,0,0,draw,0.36700000000000005,0.321,0.312
15/05/2016,America Mineiro,Fluminense,0,1,away,0.409,0.282,0.309
15/05/2016,Santa Cruz,Vitoria,4,1,home,0.49700000000000005,0.259,0.244
21/05/2016,Fluminense,Santa Cruz,2,2,draw,0.51,0.255,0.235
21/05/2016,Cruzeiro,Figueirense,2,2,draw,0.594,0.278,0.129
21/05/2016,Ponte Preta,Palmeiras,2,1,home,0.41100000000000003,0.256,0.33299999999999996
22/05/2016,Vitoria,Corinthians,3,2,home,0.204,0.225,0.5710000000000001
22/05/2016,Sao Paulo,Internacional,1,2,away,0.327,0.28800000000000003,0.385
22/05/2016,Santos,Coritiba,2,1,home,0.597,0.242,0.161
22/05/2016,Gremio,Flamengo,1,0,home,0.602,0.23399999999999999,0.16399999999999998
22/05/2016,Atletico Paranaense,Atletico-MG,1,1,draw,0.39399999999999996,0.24,0.366
22/05/2016,Chapecoense-sc,America Mineiro,3,1,home,0.473,0.295,0.23199999999999998
22/05/2016,Sport Recife,Botafogo,1,1,draw,0.442,0.336,0.222
25/05/2016,Coritiba,Sao Paulo,1,1,draw,0.509,0.254,0.237
25/05/2016,Botafogo,Atletico Paranaense,2,1,home,0.465,0.313,0.222
25/05/2016,Flamengo,Chapecoense-sc,2,2,draw,0.49200000000000005,0.268,0.24
25/05/2016,Palmeiras,Fluminense,2,0,home,0.511,0.226,0.263
25/05/2016,Figueirense,Santos,2,2,draw,0.253,0.298,0.44799999999999995
25/05/2016,America Mineiro,Vitoria,1,1,draw,0.474,0.257,0.26899999999999996
25/05/2016,Santa Cruz,Cruzeiro,4,1,home,0.436,0.271,0.293
26/05/2016,Corinthians,Ponte Preta,3,0,home,0.682,0.21100000000000002,0.107
26/05/2016,Atletico-MG,Gremio,0,3,away,0.392,0.23600000000000002,0.37200000000000005
26/05/2016,Internacional,Sport Recife,1,0,home,0.672,0.242,0.086
28/05/2016,Cruzeiro,America Mineiro,1,1,draw,0.423,0.294,0.28300000000000003
28/05/2016,Atletico Paranaense,Figueirense,2,1,home,0.49,0.289,0.221
28/05/2016,Chapecoense-sc,Santa Cruz,1,1,draw,0.45399999999999996,0.256,0.29
29/05/2016,Vitoria,Atletico-MG,1,1,draw,0.413,0.22399999999999998,0.363
29/05/2016,Fluminense,Botafogo,1,0,home,0.395,0.303,0.302
29/05/2016,Sao Paulo,Palmeiras,1,0,home,0.29,0.24100000000000002,0.469
29/05/2016,Santos,Internacional,0,1,away,0.46299999999999997,0.282,0.255
29/05/2016,Gremio,Coritiba,2,0,home,0.6459999999999999,0.221,0.134
29/05/2016,Ponte Preta,Flamengo,1,2,away,0.45399999999999996,0.289,0.257
29/05/2016,Sport Recife,Corinthians,0,2,away,0.20199999999999999,0.256,0.542
01/06/2016,Botafogo,Cruzeiro,0,1,away,0.425,0.3,0.275
01/06/2016,Corinthians,Santos,1,0,home,0.5760000000000001,0.23,0.193
01/06/2016,Atletico-MG,Fluminense,1,1,draw,0.49,0.22699999999999998,0.28300000000000003
01/06/2016,Internacional,Atletico Paranaense,1,0,home,0.659,0.23399999999999999,0.107
01/06/2016,Coritiba,Chapecoense-sc,3,4,away,0.494,0.26,0.247
01/06/2016,Figueirense,Sao Paulo,1,0,home,0.41600000000000004,0.289,0.295
01/06/2016,Santa Cruz,Sport Recife,0,1,away,0.424,0.293,0.28300000000000003
02/06/2016,Flamengo,Vitoria,1,0,home,0.55,0.237,0.214
02/06/2016,Palmeiras,Gremio,4,3,home,0.34700000000000003,0.244,0.409
