date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
01/07/2021,RB Bragantino,Ceara,0,0,draw,0.501,0.24600000000000002,0.253
01/07/2021,Cuiaba,Flamengo,0,2,away,0.212,0.24,0.5479999999999999
03/07/2021,Corinthians,Internacional,1,1,draw,0.396,0.27699999999999997,0.327
03/07/2021,Atletico Paranaense,Fortaleza EC,2,1,home,0.322,0.309,0.37
03/07/2021,America Mineiro,Santos,2,0,home,0.425,0.28800000000000003,0.28800000000000003
04/07/2021,Chapecoense-sc,Bahia,0,2,away,0.358,0.256,0.386
04/07/2021,Flamengo,Fluminense,0,1,away,0.48200000000000004,0.244,0.27399999999999997
04/07/2021,Sao Paulo,RB Bragantino,1,2,away,0.478,0.24100000000000002,0.282
04/07/2021,Gremio,Atletico Goianiense,0,1,away,0.469,0.275,0.256
04/07/2021,Ceara,Juventude,2,0,home,0.583,0.24,0.17800000000000002
04/07/2021,Sport Recife,Palmeiras,0,1,away,0.172,0.28800000000000003,0.54
04/07/2021,Cuiaba,Atletico-MG,0,1,away,0.22399999999999998,0.26899999999999996,0.506
06/07/2021,Santos,Atletico Paranaense,2,1,home,0.373,0.28300000000000003,0.344
07/07/2021,Fluminense,Ceara,0,0,draw,0.45299999999999996,0.263,0.284
07/07/2021,Palmeiras,Gremio,2,0,home,0.503,0.27899999999999997,0.218
07/07/2021,Internacional,Sao Paulo,0,2,away,0.38799999999999996,0.235,0.377
07/07/2021,Fortaleza EC,America Mineiro,4,0,home,0.5589999999999999,0.27899999999999997,0.162
07/07/2021,RB Bragantino,Cuiaba,1,1,draw,0.6729999999999999,0.225,0.102
07/07/2021,Bahia,Juventude,1,0,home,0.575,0.23199999999999998,0.193
07/07/2021,Atletico-MG,Flamengo,2,1,home,0.39299999999999996,0.249,0.359
07/07/2021,Atletico Goianiense,Sport Recife,1,1,draw,0.613,0.263,0.124
08/07/2021,Chapecoense-sc,Corinthians,0,1,away,0.298,0.3,0.402
10/07/2021,Palmeiras,Santos,3,2,home,0.606,0.24100000000000002,0.153
10/07/2021,Sao Paulo,Bahia,1,0,home,0.551,0.221,0.22899999999999998
10/07/2021,America Mineiro,Atletico-MG,0,1,away,0.195,0.26899999999999996,0.536
10/07/2021,Gremio,Internacional,0,0,draw,0.34700000000000003,0.271,0.381
10/07/2021,Sport Recife,Fluminense,1,2,away,0.222,0.295,0.483
10/07/2021,Atletico Paranaense,RB Bragantino,2,2,draw,0.322,0.278,0.401
11/07/2021,Flamengo,Chapecoense-sc,2,1,home,0.68,0.196,0.124
11/07/2021,Fortaleza EC,Corinthians,1,0,home,0.503,0.298,0.19899999999999998
11/07/2021,Juventude,Atletico Goianiense,1,1,draw,0.29100000000000004,0.281,0.428
11/07/2021,Cuiaba,Ceara,2,2,draw,0.262,0.28800000000000003,0.45
17/07/2021,Fluminense,Gremio,0,1,away,0.47100000000000003,0.281,0.248
17/07/2021,Corinthians,Atletico-MG,1,2,away,0.32899999999999996,0.304,0.36700000000000005
17/07/2021,Sao Paulo,Fortaleza EC,0,1,away,0.47600000000000003,0.255,0.26899999999999996
17/07/2021,Ceara,Atletico Paranaense,1,0,home,0.488,0.265,0.247
18/07/2021,Internacional,Juventude,1,0,home,0.594,0.23399999999999999,0.172
18/07/2021,Bahia,Flamengo,0,5,away,0.336,0.23800000000000002,0.426
18/07/2021,RB Bragantino,Santos,2,2,draw,0.583,0.22899999999999998,0.188
18/07/2021,Chapecoense-sc,Cuiaba,2,3,away,0.43700000000000006,0.289,0.27399999999999997
18/07/2021,Atletico Goianiense,Palmeiras,0,3,away,0.33,0.281,0.38799999999999996
19/07/2021,America Mineiro,Sport Recife,0,1,away,0.509,0.305,0.18600000000000003
21/07/2021,Cuiaba,Atletico Goianiense,2,1,home,0.337,0.285,0.37799999999999995
24/07/2021,Palmeiras,Fluminense,1,0,home,0.507,0.267,0.226
24/07/2021,Gremio,America Mineiro,1,1,draw,0.539,0.28800000000000003,0.17300000000000001
25/07/2021,Fortaleza EC,RB Bragantino,1,0,home,0.44299999999999995,0.275,0.282
25/07/2021,Flamengo,Sao Paulo,5,1,home,0.483,0.228,0.289
25/07/2021,Santos,Atletico Goianiense,0,1,away,0.408,0.261,0.331
25/07/2021,Atletico-MG,Bahia,3,0,home,0.562,0.23199999999999998,0.20600000000000002
25/07/2021,Sport Recife,Ceara,0,0,draw,0.244,0.295,0.461
25/07/2021,Atletico Paranaense,Internacional,2,1,home,0.375,0.272,0.353
26/07/2021,Juventude,Chapecoense-sc,1,0,home,0.408,0.281,0.312
26/07/2021,Cuiaba,Corinthians,1,2,away,0.309,0.312,0.379
31/07/2021,Sao Paulo,Palmeiras,0,0,draw,0.34600000000000003,0.262,0.392
31/07/2021,Internacional,Cuiaba,0,0,draw,0.5660000000000001,0.24,0.19399999999999998
31/07/2021,RB Bragantino,Gremio,1,0,home,0.488,0.271,0.24100000000000002
01/08/2021,Corinthians,Flamengo,1,3,away,0.247,0.24100000000000002,0.513
01/08/2021,Atletico-MG,Atletico Paranaense,2,0,home,0.581,0.245,0.174
01/08/2021,Ceara,Fortaleza EC,3,1,home,0.281,0.301,0.418
01/08/2021,Bahia,Sport Recife,0,1,away,0.528,0.268,0.204
01/08/2021,Chapecoense-sc,Santos,0,1,away,0.35,0.262,0.38799999999999996
01/08/2021,Atletico Goianiense,America Mineiro,1,1,draw,0.498,0.281,0.221
06/08/2021,Sport Recife,RB Bragantino,0,0,draw,0.20800000000000002,0.292,0.5
07/08/2021,Cuiaba,Bahia,1,1,draw,0.385,0.268,0.34700000000000003
07/08/2021,Palmeiras,Fortaleza EC,2,3,away,0.47600000000000003,0.29,0.23399999999999999
07/08/2021,Atletico Paranaense,Sao Paulo,1,2,away,0.317,0.258,0.425
08/08/2021,Santos,Corinthians,0,0,draw,0.386,0.284,0.33
08/08/2021,Flamengo,Internacional,0,4,away,0.634,0.19699999999999998,0.16899999999999998
08/08/2021,America Mineiro,Fluminense,1,0,home,0.301,0.297,0.402
08/08/2021,Ceara,Atletico Goianiense,0,0,draw,0.5,0.259,0.24100000000000002
08/08/2021,Juventude,Atletico-MG,1,2,away,0.184,0.259,0.557
09/08/2021,Gremio,Chapecoense-sc,2,1,home,0.601,0.253,0.146
14/08/2021,Sao Paulo,Gremio,2,1,home,0.517,0.254,0.22899999999999998
14/08/2021,Atletico-MG,Palmeiras,2,0,home,0.45,0.268,0.282
14/08/2021,RB Bragantino,Juventude,1,2,away,0.644,0.23399999999999999,0.122
15/08/2021,Flamengo,Sport Recife,2,0,home,0.75,0.17600000000000002,0.07400000000000001
15/08/2021,Corinthians,Ceara,3,1,home,0.381,0.305,0.314
15/08/2021,Internacional,Fluminense,4,2,home,0.462,0.262,0.27699999999999997
15/08/2021,Fortaleza EC,Santos,1,1,draw,0.573,0.248,0.179
15/08/2021,Bahia,Atletico Goianiense,1,2,away,0.42700000000000005,0.261,0.312
15/08/2021,Cuiaba,Atletico Paranaense,1,0,home,0.369,0.28600000000000003,0.34600000000000003
16/08/2021,Chapecoense-sc,America Mineiro,1,1,draw,0.35600000000000004,0.298,0.34600000000000003
18/08/2021,Cuiaba,Gremio,0,1,away,0.308,0.302,0.39
21/08/2021,Gremio,Bahia,2,0,home,0.518,0.257,0.225
21/08/2021,Juventude,Fortaleza EC,1,1,draw,0.23600000000000002,0.28300000000000003,0.48200000000000004
21/08/2021,Atletico Goianiense,Chapecoense-sc,1,1,draw,0.54,0.257,0.203
22/08/2021,Ceara,Flamengo,1,1,draw,0.293,0.23199999999999998,0.475
22/08/2021,Palmeiras,Cuiaba,0,2,away,0.635,0.242,0.12300000000000001
22/08/2021,Santos,Internacional,2,2,draw,0.33299999999999996,0.255,0.41100000000000003
22/08/2021,Sport Recife,Sao Paulo,0,1,away,0.191,0.27,0.539
22/08/2021,Atletico Paranaense,Corinthians,0,1,away,0.379,0.301,0.32
23/08/2021,Fluminense,Atletico-MG,1,1,draw,0.311,0.265,0.424
