knob,level,season,matches,diff,ci_low,ci_high
k,10,2016,375,0.00048634747918816754,-0.0013354704845415161,0.002349846452269171
k,10,2017,378,-0.002350844445697209,-0.0037463421294248495,-0.0010164561824357072
k,10,2018,377,-0.00029709851884578836,-0.0016689167568995252,0.00110073308624166
k,10,2019,376,-0.000188255878142051,-0.002441227875552147,0.0020396948213870477
k,10,2020,377,-0.00020132978884867148,-0.002681452526604309,0.0022451016182602726
k,10,2021,377,0.0019798659113457132,-0.0004503278776319223,0.0044450971201883014
k,10,2022,377,-0.0011233985955203805,-0.002745480555633969,0.0005015271291290837
k,10,2023,373,-0.0017773574497549503,-0.004578832955377914,0.0010702656412077559
k,10,2024,376,0.0006075287522356635,-0.0015475102775573504,0.002736837908175075
k,10,2025,374,0.001250536720666065,-0.0012782125300117206,0.003805973068589132
k,15,2016,375,0.00010123335374211562,-0.0006851537348553778,0.0008990178668875796
k,15,2017,378,-0.0010775271071487868,-0.0016928566300675857,-0.0004675934018965229
k,15,2018,377,-0.00030609245441643064,-0.0009179390063655937,0.00030114445244676597
k,15,2019,376,-0.0002922726803451418,-0.0012657578268159217,0.0006719589458797049
k,15,2020,377,-0.0002948090136497946,-0.0013692603430117232,0.0007630339578227477
k,15,2021,377,0.0007425056716573075,-0.0002671439651730606,0.0017798061400186662
k,15,2022,377,-0.00035313664433008347,-0.0011413709433959042,0.000450574327608481
k,15,2023,373,-0.0008841229567500338,-0.0020927585949477713,0.0003422600572430442
k,15,2024,376,0.0001065258963926636,-0.0008249541398905859,0.0010104502507643437
k,15,2025,374,0.00031186819424352933,-0.0007436907615607459,0.0013694258268098643
k,25,2016,375,2.399283110856913e-05,-0.0006180572027250884,0.0006580711298837009
k,25,2017,378,0.0008778462720650057,0.00037930699569691336,0.0013796262119981147
k,25,2018,377,0.00036377605358318683,-0.00011311805307374329,0.0008401965486921113
k,25,2019,376,0.0004615195303886106,-0.0003080279844625781,0.0012369642546397749
k,25,2020,377,0.0003859011385424726,-0.0004560017372586372,0.0012502006610047905
k,25,2021,377,-0.0004524931070958615,-0.0012328295918219883,0.0003061844866223837
k,25,2022,377,0.000194426085208288,-0.0005192273299780915,0.0009021884535873015
k,25,2023,373,0.0008011979645843396,-0.00017551832240983223,0.0017802662281539404
k,25,2024,376,6.416243111787793e-05,-0.0006482861209801389,0.0007834493213396956
k,25,2025,374,-5.3930464994232226e-05,-0.0008457244398899614,0.0007350443472149714
k,30,2016,375,0.00011207392781884592,-0.001055598173544579,0.0012639957318566367
k,30,2017,378,0.001576499642305961,0.0006458348538008185,0.002506115582957281
k,30,2018,377,0.0007090053695705755,-0.00015495453564113443,0.0015652030461041327
k,30,2019,376,0.001005514258402107,-0.00040263872994262146,0.0024046777295129067
k,30,2020,377,0.0007384319066997889,-0.0008024949538577963,0.0022926044040795096
k,30,2021,377,-0.0007268432478253178,-0.0021283096346530446,0.000638343055149937
k,30,2022,377,0.00033779363592677833,-0.0009883665007629412,0.001662575407902964
k,30,2023,373,0.0015253091784922096,-0.00025444771344341387,0.0032971447136382814
k,30,2024,376,0.00019389713840465276,-0.0010960232593318906,0.0014991057238324874
k,30,2025,374,-1.2865122330345844e-08,-0.0014256183595784497,0.0014155618314582105
k,40,2016,375,0.0003781631397883718,-0.0015760005452322909,0.0023505309689142557
k,40,2017,378,0.0025551972870496284,0.0009328102213803613,0.004164803819569111
k,40,2018,377,0.001308945494502109,-0.0001292641735779647,0.0027200418791422177
k,40,2019,376,0.002203571009742773,-0.00021376745657519254,0.0045905290251452065
k,40,2020,377,0.0012206311507131473,-0.0013873526001012806,0.003877190951362831
k,40,2021,377,-0.0009776253240634295,-0.0033134727130754156,0.0013211324175362654
k,40,2022,377,0.0006249296651288519,-0.0017022653390501305,0.002936357969620633
k,40,2023,373,0.0028009178223750483,-0.00022220837194748447,0.0058240589110565245
k,40,2024,376,0.0005014705805749303,-0.001698419412570124,0.0027364317886329104
k,40,2025,374,0.00022430263989033647,-0.0021103164187538633,0.002561582248785583
home_advantage,50,2016,375,-4.5947446368018454e-05,-0.00035239533112578676,0.00025230027909132173
home_advantage,50,2017,378,0.0003057569923396162,0.0001133756723626713,0.0005046566717899864
home_advantage,50,2018,377,-2.450898671830709e-06,-0.00020119741015125022,0.00018723405712133687
home_advantage,50,2019,376,-7.315934368776725e-05,-0.00035068168277193983,0.00020640095388244873
home_advantage,50,2020,377,0.0001973590532852738,-0.000237010523285003,0.0006299313303766859
home_advantage,50,2021,377,-0.00023541523151987328,-0.000643162439170408,0.0001708190944598046
home_advantage,50,2022,377,-0.0001548313068117099,-0.0006616607193449943,0.0003469072832814755
home_advantage,50,2023,373,0.00016985921820574705,-0.00030336946834619614,0.0006348645333001948
home_advantage,50,2024,376,-0.00026903573611440954,-0.0006500212273395232,0.0001035092719224293
home_advantage,50,2025,374,7.622296548854075e-05,-0.0006124764141941676,0.0007823709495101425
home_advantage,70,2016,375,-2.2570565789545934e-05,-0.00015639016794519495,0.00010814284149741958
home_advantage,70,2017,378,0.00013807954582625406,5.46362704218926e-05,0.0002239743247150398
home_advantage,70,2018,377,-1.2575404251081003e-06,-8.833062405285199e-05,8.188647603299279e-05
home_advantage,70,2019,376,-3.115115250688291e-05,-0.0001520267617137689,8.992917919794897e-05
home_advantage,70,2020,377,8.062961850807028e-05,-0.00010658392304750149,0.00026702312849810096
home_advantage,70,2021,377,-0.00010667091357909429,-0.00028648878983965505,7.205657665150173e-05
home_advantage,70,2022,377,-6.930381791515304e-05,-0.00028696203643733685,0.0001486693402716023
home_advantage,70,2023,373,8.078103731327634e-05,-0.0001226715116384667,0.00028231982619207754
home_advantage,70,2024,376,-0.00011823748377058175,-0.00028101696117955395,4.107835500807418e-05
home_advantage,70,2025,374,1.2187978390372156e-05,-0.00028736260070021314,0.00031835922827984006
home_advantage,100,2016,375,2.720351149060555e-05,-0.0001061811805668745,0.00016427948337707828
home_advantage,100,2017,378,-0.00014699345192011151,-0.0002339022621309896,-6.234725962825525e-05
