weights,n_scored,mean_brier,mean_reference_brier,skill,mean_skill_across_seasons,diff_vs_baseline,diff_ci_low,diff_ci_high
"(1, 1, 1)",3760,0.6197681682637256,0.6330157719992652,0.020927762500607905,0.020913952900663068,0.0007145422482684572,-0.0011174669781088783,0.002572353470948848
"(2, 2, 1)",3760,0.6187529557638205,0.6330157719992652,0.0225315337568891,0.0225281467807669,-0.0003006702516366065,-0.0011535772070367899,0.0005673488942180893
"(4, 3, 1)",3760,0.6190536260154571,0.6330157719992652,0.02205655309299981,0.02204389181793944,0.0,0.0,0.0
"(8, 4, 1)",3760,0.620655339813042,0.6330157719992652,0.019526262587715615,0.019486412446927337,0.0016017137975849365,0.0005732161337350238,0.0026229534194780243
"(16, 6, 1)",3760,0.6240759704047549,0.6330157719992652,0.014122557430560567,0.014053643009403493,0.005022344389297797,0.0028552526333783575,0.007163372139655638
