season,matches,rps_dixon_coles,rps_current,rps_base_rate,brier_dixon_coles,brier_current,log_loss_dixon_coles,log_loss_current,diff,dixon_coles_wins,dixon_coles_better
2016,375,0.21007173344296265,0.20745508387804504,0.21079558064897908,0.6120129549875251,0.6032637461102518,1.0192876336297767,1.0093310178454888,0.0026166495649176196,184,False
2017,378,0.23925947480712265,0.22580773903528253,0.22647080053936017,0.6758205041112885,0.6465298937971542,1.1931545227658138,1.0710265664049243,0.013451735771840103,156,False
2018,377,0.190798989496828,0.19354022250811895,0.19751974694519348,0.5868960365304332,0.5892589898613213,1.0197327232099656,0.9887192294342405,-0.002741233011290961,222,True
2019,376,0.20026467099842307,0.20260886154097146,0.2211454588318501,0.5920911098208894,0.5961536396984072,1.0417315356806474,0.9987549776784269,-0.0023441905425483477,226,True
2020,377,0.2188851825362871,0.21595519635510813,0.22062200121971828,0.6476029635381262,0.6391020301186625,1.0818982029396491,1.0573119777037587,0.0029299861811789537,202,False
2021,377,0.21414734708800062,0.21195112675546707,0.21707279550614633,0.636964139572562,0.6327743826371071,1.0551465257521913,1.050565637683323,0.0021962203325335775,204,False
2022,377,0.21405172806737702,0.21088637744544672,0.22281093631747942,0.6302669044704702,0.6212049397355426,1.093923483665145,1.0348291180796445,0.003165350621930312,207,False
2023,373,0.2242834876296416,0.2200185866367565,0.2237798266655774,0.642836388289032,0.6333942276316847,1.0938587670718787,1.0534466511397886,0.004264900992885078,196,False
2024,376,0.21654641003388678,0.21426182727410922,0.22106935521895443,0.6276482859919187,0.621818109396418,1.046309516947791,1.03758424129646,0.0022845827597776014,198,False
2025,374,0.20513553003269266,0.2079049902783583,0.21637732012976432,0.6044171488661813,0.606881538872285,1.0251441293163361,1.0139894240962735,-0.0027694602456656433,206,True
