date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
15/04/2023,Botafogo,Sao Paulo,2,1,home,0.369,0.27899999999999997,0.35200000000000004
15/04/2023,Palmeiras,Cuiaba,2,1,home,0.74,0.18600000000000003,0.07400000000000001
15/04/2023,RB Bragantino,Bahia,2,1,home,0.5670000000000001,0.237,0.196
15/04/2023,Atletico-MG,Vasco DA Gama,1,2,away,0.551,0.259,0.19
15/04/2023,Atletico Paranaense,Goias,2,0,home,0.611,0.22699999999999998,0.162
15/04/2023,Fortaleza EC,Internacional,1,1,draw,0.449,0.252,0.3
15/04/2023,America Mineiro,Fluminense,0,3,away,0.31,0.255,0.435
16/04/2023,Flamengo,Coritiba,3,0,home,0.73,0.188,0.08199999999999999
16/04/2023,Corinthians,Cruzeiro,2,1,home,0.5670000000000001,0.264,0.168
16/04/2023,Gremio,Santos,1,0,home,0.595,0.24100000000000002,0.16399999999999998
22/04/2023,Fluminense,Atletico Paranaense,2,0,home,0.61,0.214,0.17600000000000002
22/04/2023,Sao Paulo,America Mineiro,3,0,home,0.532,0.251,0.217
22/04/2023,Cruzeiro,Gremio,1,0,home,0.299,0.281,0.42
22/04/2023,Cuiaba,RB Bragantino,1,1,draw,0.444,0.253,0.302
23/04/2023,Coritiba,Fortaleza EC,0,3,away,0.2,0.22699999999999998,0.5720000000000001
23/04/2023,Vasco DA Gama,Palmeiras,2,2,draw,0.29600000000000004,0.258,0.446
23/04/2023,Santos,Atletico-MG,0,0,draw,0.38,0.28600000000000003,0.33399999999999996
23/04/2023,Goias,Corinthians,3,1,home,0.324,0.293,0.38299999999999995
23/04/2023,Internacional,Flamengo,2,1,home,0.462,0.257,0.282
24/04/2023,Bahia,Botafogo,1,2,away,0.287,0.287,0.425
29/04/2023,Palmeiras,Corinthians,2,1,home,0.532,0.257,0.21100000000000002
29/04/2023,Santos,America Mineiro,3,2,home,0.434,0.278,0.289
29/04/2023,RB Bragantino,Cruzeiro,0,3,away,0.447,0.267,0.28600000000000003
29/04/2023,Atletico-MG,Atletico Paranaense,2,1,home,0.436,0.285,0.27899999999999997
29/04/2023,Coritiba,Sao Paulo,1,1,draw,0.17800000000000002,0.24100000000000002,0.5820000000000001
29/04/2023,Fortaleza EC,Fluminense,4,2,home,0.37799999999999995,0.23399999999999999,0.38799999999999996
30/04/2023,Flamengo,Botafogo,2,3,away,0.452,0.266,0.28300000000000003
30/04/2023,Internacional,Goias,1,0,home,0.625,0.22699999999999998,0.14800000000000002
30/04/2023,Cuiaba,Gremio,1,2,away,0.315,0.275,0.41
01/05/2023,Vasco DA Gama,Bahia,0,1,away,0.581,0.228,0.191
06/05/2023,Fluminense,Vasco DA Gama,1,1,draw,0.595,0.21899999999999997,0.18600000000000003
06/05/2023,Cruzeiro,Santos,2,1,home,0.507,0.272,0.222
07/05/2023,Botafogo,Atletico-MG,2,0,home,0.48,0.29600000000000004,0.22399999999999998
07/05/2023,Sao Paulo,Internacional,2,0,home,0.467,0.265,0.268
07/05/2023,Goias,Palmeiras,0,5,away,0.239,0.26,0.501
07/05/2023,Gremio,RB Bragantino,3,3,draw,0.634,0.225,0.14
07/05/2023,Atletico Paranaense,Flamengo,2,1,home,0.38799999999999996,0.24100000000000002,0.37200000000000005
07/05/2023,Bahia,Coritiba,3,1,home,0.625,0.23399999999999999,0.14
07/05/2023,America Mineiro,Cuiaba,1,2,away,0.5710000000000001,0.228,0.201
08/05/2023,Corinthians,Fortaleza EC,1,1,draw,0.33399999999999996,0.252,0.414
10/05/2023,Flamengo,Goias,2,0,home,0.67,0.19399999999999998,0.135
10/05/2023,Palmeiras,Gremio,4,1,home,0.639,0.215,0.147
10/05/2023,Santos,Bahia,3,0,home,0.48700000000000004,0.262,0.252
10/05/2023,RB Bragantino,America Mineiro,2,2,draw,0.39299999999999996,0.244,0.363
10/05/2023,Cruzeiro,Fluminense,0,2,away,0.273,0.25,0.47700000000000004
10/05/2023,Internacional,Atletico Paranaense,0,2,away,0.48700000000000004,0.258,0.255
10/05/2023,Cuiaba,Atletico-MG,0,4,away,0.35,0.28600000000000003,0.364
11/05/2023,Botafogo,Corinthians,3,0,home,0.527,0.27699999999999997,0.196
11/05/2023,Coritiba,Vasco DA Gama,1,1,draw,0.222,0.256,0.522
11/05/2023,Fortaleza EC,Sao Paulo,0,0,draw,0.518,0.23600000000000002,0.24600000000000002
13/05/2023,Fluminense,Cuiaba,2,0,home,0.7809999999999999,0.15,0.069
13/05/2023,Palmeiras,RB Bragantino,1,1,draw,0.758,0.157,0.085
13/05/2023,Atletico-MG,Internacional,2,0,home,0.502,0.276,0.223
13/05/2023,Bahia,Flamengo,2,3,away,0.282,0.23399999999999999,0.485
14/05/2023,Vasco DA Gama,Santos,0,1,away,0.49700000000000005,0.261,0.242
