season,prior_weight,n_scored,missing,mean_brier,mean_reference_brier,skill,diff_vs_baseline,diff_ci_low,diff_ci_high,beats_baseline
2016,0.0,375,0,0.6083875159891756,0.6094310491665564,0.0017123072065460265,0.005123769878923788,-0.0005503179442016379,0.011115511191118865,False
2016,0.5,375,0,0.603606799039186,0.6094310491665564,0.009556864776311458,0.00034305292893425975,-0.0006446790946161173,0.001370630518281326,False
2016,1.0,375,0,0.6032637461102518,0.6094310491665564,0.01011977165380551,0.0,0.0,0.0,
2016,2.0,375,0,0.6032306066364239,0.6094310491665564,0.010174149378526232,-3.313947382785424e-05,-0.0010133319545545525,0.0009298998688919958,True
2017,0.0,378,0,0.6466771072101791,0.648758665670023,0.0032085250956827016,0.0001472134130249023,-0.0076025730841521415,0.007836848349683725,False
2017,0.5,378,0,0.6470744130103281,0.648758665670023,0.00259611585759012,0.0005445192131737755,-0.0006981851063512742,0.0017988876257931231,False
2017,1.0,378,0,0.6465298937971542,0.648758665670023,0.0034354406203839227,0.0,0.0,0.0,
2017,2.0,378,0,0.6460725446012554,0.648758665670023,0.0041404010626870935,-0.000457349195898833,-0.001458603715565694,0.0005343692499576935,True
2018,0.0,377,0,0.5836998834158079,0.6005712102397557,0.028092133849060952,-0.00555910644551334,-0.013252283963711088,0.0015793628016374404,True
2018,0.5,377,0,0.5875492801261659,0.6005712102397557,0.021682574674852018,-0.0017097097351554368,-0.003040622008899391,-0.00044098501899096296,True
2018,1.0,377,0,0.5892589898613213,0.6005712102397557,0.018835768657505914,0.0,0.0,0.0,
2018,2.0,377,0,0.5910003259202172,0.6005712102397557,0.015936302234197397,0.0017413360588959834,0.0005040627240558003,0.0030090797218424933,False
2019,0.0,376,0,0.6011947318744133,0.6350044203453763,0.053243233255878875,0.005041092176006189,-0.0013139329494955792,0.012114394831932385,False
2019,0.5,376,0,0.5961240775618513,0.6350044203453763,0.06122846005131455,-2.9562136555895622e-05,-0.0011799248880005827,0.0011886999662882643,True
2019,1.0,376,0,0.5961536396984072,0.6350044203453763,0.061181905829629235,0.0,0.0,0.0,
2019,2.0,376,0,0.5966120216310696,0.6350044203453763,0.06046004954331685,0.000458381932662514,-0.0006726790720932753,0.001561718587791308,False
2020,0.0,377,0,0.6484184189313154,0.6456549740258786,-0.00428006445641671,0.009316388812652796,0.0032822862738544284,0.016616907441055522,False
2020,0.5,377,0,0.6401255118382673,0.6456549740258786,0.008564113048077693,0.0010234817196047806,0.00024389082476480368,0.0018641836311658736,False
2020,1.0,377,0,0.6391020301186625,0.6456549740258786,0.010149296715482925,0.0,0.0,0.0,
2020,2.0,377,0,0.6384519359773108,0.6456549740258786,0.011156172163678146,-0.0006500941413518482,-0.0014466373355844465,9.093065872025002e-05,True
2021,0.0,377,0,0.6320315571672791,0.6418950821840306,0.015366257337867562,-0.0007428254698279035,-0.007574191007334443,0.006331375742157159,True
2021,0.5,377,0,0.6324858634796772,0.6418950821840306,0.014658499442523842,-0.00028851915742991654,-0.0012878730164553901,0.0006987152084579731,True
2021,1.0,377,0,0.6327743826371071,0.6418950821840306,0.014209019199665107,0.0,0.0,0.0,
2021,2.0,377,0,0.6332321523509172,0.6418950821840306,0.013495865716306676,0.000457769713810116,-0.00040210140130216037,0.0013317541952819658,False
2022,0.0,377,0,0.6198501415742693,0.6477433007340352,0.04306205734301971,-0.0013547981612731213,-0.007502858312378962,0.004525773153532128,True
2022,0.5,377,0,0.6205565913799924,0.6477433007340352,0.041971424981523175,-0.000648348355550158,-0.0015661904341816688,0.0002589331600369619,True
2022,1.0,377,0,0.6212049397355426,0.6477433007340352,0.04097049088492122,0.0,0.0,0.0,
2022,2.0,377,0,0.6220908100067838,0.6477433007340352,0.03960286536067836,0.0008858702712412541,3.166151191159636e-05,0.0017674706278893425,False
2023,0.0,373,0,0.634274260202436,0.6399900484950206,0.008931058078208598,0.0008800325707513847,-0.0049043242298615715,0.006614846438496179,False
2023,0.5,373,0,0.632894940353583,0.6399900484950206,0.011086278854057663,-0.0004992872781016788,-0.0018535388826127382,0.0008651032342669335,True
2023,1.0,373,0,0.6333942276316847,0.6399900484950206,0.010306130351317777,0.0,0.0,0.0,
2023,2.0,373,0,0.6340208432718333,0.6399900484950206,0.00932702818930442,0.000626615640148549,-0.0007541992825487261,0.001995805167781799,False
2024,0.0,376,0,0.6245962468168441,0.6361170212765956,0.018111092887643454,0.0027781374204260342,-0.003575184954594749,0.009108512802987323,False
2024,0.5,376,0,0.6222649642489188,0.6361170212765956,0.021775957197117335,0.0004468548525007283,-0.0006023192587687484,0.0015060640676983646,False
2024,1.0,376,0,0.621818109396418,0.6361170212765956,0.02247842991448612,0.0,0.0,0.0,
2024,2.0,376,0,0.6214328516733911,0.6361170212765956,0.023084069616209124,-0.0003852577230269165,-0.0012671010292298675,0.0004823840676812478,True
2025,0.0,374,0,0.607270021879049,0.6248475713629698,0.02813093991159976,0.000388483006763935,-0.005140532607591773,0.005861162559382252,False
2025,0.5,374,0,0.6065319721483815,0.6248475713629698,0.029312107550705124,-0.0003495667239034811,-0.0015181439471491946,0.0007881874659427254,True
2025,1.0,374,0,0.606881538872285,0.6248475713629698,0.0287526643521967,0.0,0.0,0.0,
2025,2.0,374,0,0.6074879810230935,0.6248475713629698,0.027782120208949546,0.0006064421508083889,-0.00048492139392945663,0.0017412028445072736,False
