knob,level,matches,rps,rps_default,diff_vs_default,ci_low,ci_high,better_seasons,find_diff,find_ci_low,find_ci_high,confirm_diff,confirm_ci_low,confirm_ci_high,beats_default,loses_clearly
k,10,3760,0.20729229288616755,0.20745422511603,-0.00016193222986248218,-0.0008448867944203548,0.0005235258979187848,6,-0.0005124432171854514,-0.0013445360010323187,0.0003419079123748363,0.00018969919748389557,-0.0008644975459699626,0.0012562191296029495,False,False
k,15,3760,0.2072595255367762,0.20745422511603,-0.00019469957925382072,-0.0004876380206692472,0.0001075133738732592,6,-0.0003748152523205992,-0.0007467523705016421,-4.4695814108594463e-07,-1.4008150172976878e-05,-0.0004643837655420858,0.0004477982990526971,False,False
k,25,3760,0.2077208457280233,0.20745422511603,0.0002666206119932445,2.1601460084060797e-05,0.0004977183565886555,2,0.00042325164490906894,0.00012416707575382715,0.0007195416987807036,0.00010948889383634666,-0.00025334574688174464,0.0004651177892939408,False,True
k,30,3760,0.20800126525816118,0.20745422511603,0.0005470401421311389,0.00010488447853008559,0.0009667677809823107,2,0.0008293689867428785,0.00028655342540931123,0.0013726856126270283,0.00026380880787226554,-0.000386845238667939,0.000912221458875992,False,True
k,40,3760,0.20853775890772622,0.20745422511603,0.001083533791696157,0.00033366428916152405,0.001797072965808159,1,0.001534715266508143,0.0006145084983788981,0.002459662665806878,0.0006309100745565887,-0.0004651496920685403,0.0017211327682238693,False,True
home_advantage,50,3760,0.2074510077776078,0.20745422511603,-3.2173384222158e-06,-0.0001309454776118548,0.00012457275131355956,6,7.664275718483037e-05,-5.358809849337479e-05,0.00021097915472419076,-8.333271403653007e-05,-0.0003001345492967321,0.0001418954397327173,False,False
home_advantage,70,3760,0.20745045660789457,0.20745422511603,-3.7685081354483167e-06,-5.91291741663341e-05,5.179443411950627e-05,6,3.2894607671764776e-05,-2.370019126989218e-05,9.161931973556996e-05,-4.0548820903153286e-05,-0.00013432502026938182,5.6990831336681984e-05,False,False
home_advantage,100,3760,0.20746198356385465,0.20745422511603,7.758447824607501e-06,-4.829575451414784e-05,6.407583621095382e-05,3,-3.245530455999005e-05,-9.184846755500405e-05,2.5021135368291395e-05,4.810074710015208e-05,-4.9600399852669095e-05,0.00014286330051125525,False,False
home_advantage,120,3760,0.2074786913030701,0.20745422511603,2.4466187040053167e-05,-0.00010608167567029724,0.0001560624839038403,3,-7.435948350626836e-05,-0.00021323345802150084,6.0575331171330324e-05,0.00012360776276659736,-0.00010370210472587221,0.0003456885234618039,False,False
margin_ladder,flat 1/1/1,3760,0.20779881777448084,0.20745422511603,0.000344592658450814,-0.00019690981257647618,0.0008976977373709964,4,0.0005061059279703108,-0.0002562335155732662,0.0012627643373792849,0.0001825630971800563,-0.0006028922462465745,0.0009678290726016378,False,False
margin_ladder,mild 1/1.5/2,3760,0.20743954844968263,0.20745422511603,-1.4676666347392333e-05,-0.00015785632448111128,0.0001310585735936462,6,6.011910785352774e-06,-0.00018940787384861453,0.00020546600256746947,-3.543137638519682e-05,-0.00024277712691190504,0.0001758986294075013,False,False
margin_ladder,steep 1/2/3,3760,0.20752246336723892,0.20745422511603,6.823825120889913e-05,-5.292666661468241e-05,0.00018780753468858815,4,6.217238451720428e-05,-0.00010403952598539673,0.00022176816214274883,7.432350799124405e-05,-0.00010621343266840499,0.0002525809932604756,False,False
seed_gap,50,3760,0.20750164619291966,0.20745422511603,4.742107688964946e-05,-8.220324951419858e-06,0.00010178207890656978,3,0.00011346753313445854,1.0417180974948376e-05,0.00021361902867684572,-1.883650281678395e-05,-6.216598965960147e-05,2.5804195329739212e-05,False,False
seed_gap,150,3760,0.2074136612898517,0.20745422511603,-4.056382617832692e-05,-9.68915021436216e-05,1.5944076864354462e-05,4,-9.557266867655401e-05,-0.0001982684807552964,9.719849325297595e-06,1.4620857052446435e-05,-3.274917054363289e-05,6.097137503658436e-05,False,False
season_regression,0.1,3760,0.20763574233577242,0.20745422511603,0.00018151721974239576,7.83780983020006e-06,0.00035830519073171146,3,0.0002972559232322101,5.262693008513584e-05,0.0005473785518031433,6.54085470352459e-05,-0.00017865008232495624,0.0003075885085004473,False,True
season_regression,0.2,3760,0.20779240288344888,0.20745422511603,0.00033817776741884375,2.942778837279677e-05,0.0006451204366395627,4,0.0005358892436898154,0.0001259401366961831,0.0009548002628007201,0.0001398342885598988,-0.0003064365788013917,0.000583610721210902,False,True
season_regression,0.33,3760,0.20800230502847028,0.20745422511603,0.0005480799124402821,8.053946839398652e-05,0.0010073614453587764,4,0.0008075463939551591,0.00020806715773998463,0.0014181886237945726,0.0002877840228864654,-0.00041329486442840394,0.0009868652542761097,False,True
