date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
14/04/2018,Cruzeiro,Gremio,0,1,away,0.467,0.258,0.275
14/04/2018,Vitoria,Flamengo,2,2,draw,0.38299999999999995,0.247,0.37
14/04/2018,Santos,Ceara,2,0,home,0.502,0.258,0.24
15/04/2018,America Mineiro,Sport Recife,3,0,home,0.518,0.284,0.198
15/04/2018,Corinthians,Fluminense,2,1,home,0.52,0.257,0.223
15/04/2018,Internacional,Bahia,2,0,home,0.499,0.275,0.226
15/04/2018,Vasco DA Gama,Atletico-MG,2,1,home,0.375,0.24,0.385
15/04/2018,Atletico Paranaense,Chapecoense-sc,5,1,home,0.48700000000000004,0.304,0.209
16/04/2018,Botafogo,Palmeiras,1,1,draw,0.314,0.26,0.426
16/04/2018,Sao Paulo,Parana,1,0,home,0.495,0.294,0.21100000000000002
21/04/2018,Bahia,Santos,1,0,home,0.41200000000000003,0.29,0.298
21/04/2018,Flamengo,America Mineiro,2,0,home,0.575,0.28600000000000003,0.14
22/04/2018,Atletico-MG,Vitoria,2,1,home,0.521,0.21899999999999997,0.26
22/04/2018,Ceara,Sao Paulo,0,0,draw,0.466,0.257,0.27699999999999997
22/04/2018,Chapecoense-sc,Vasco DA Gama,1,1,draw,0.462,0.25,0.28800000000000003
22/04/2018,Fluminense,Cruzeiro,1,0,home,0.373,0.27399999999999997,0.353
22/04/2018,Palmeiras,Internacional,1,0,home,0.498,0.268,0.23399999999999999
22/04/2018,Parana,Corinthians,0,4,away,0.313,0.317,0.37
22/04/2018,Gremio,Atletico Paranaense,0,0,draw,0.503,0.24600000000000002,0.251
23/04/2018,Sport Recife,Botafogo,1,1,draw,0.358,0.272,0.37
28/04/2018,Botafogo,Gremio,2,1,home,0.317,0.265,0.418
29/04/2018,Atletico-MG,Corinthians,1,0,home,0.402,0.27899999999999997,0.319
29/04/2018,Bahia,Atletico Paranaense,0,0,draw,0.41,0.275,0.315
29/04/2018,Ceara,Flamengo,0,3,away,0.361,0.271,0.368
29/04/2018,Fluminense,Sao Paulo,1,1,draw,0.474,0.266,0.26
29/04/2018,Parana,Sport Recife,1,2,away,0.494,0.271,0.235
29/04/2018,Internacional,Cruzeiro,0,0,draw,0.418,0.326,0.257
29/04/2018,Palmeiras,Chapecoense-sc,0,0,draw,0.609,0.235,0.155
30/04/2018,America Mineiro,Vitoria,2,1,home,0.41700000000000004,0.261,0.32299999999999995
05/05/2018,Vasco DA Gama,America Mineiro,4,1,home,0.49200000000000005,0.259,0.249
05/05/2018,Sao Paulo,Atletico-MG,2,2,draw,0.40700000000000003,0.27899999999999997,0.314
06/05/2018,Sport Recife,Bahia,2,0,home,0.302,0.27,0.428
06/05/2018,Corinthians,Ceara,1,1,draw,0.591,0.245,0.163
06/05/2018,Atletico Paranaense,Palmeiras,1,3,away,0.425,0.27399999999999997,0.301
06/05/2018,Cruzeiro,Botafogo,1,0,home,0.5720000000000001,0.27399999999999997,0.154
06/05/2018,Flamengo,Internacional,2,0,home,0.53,0.299,0.171
06/05/2018,Gremio,Santos,5,1,home,0.518,0.263,0.21899999999999997
06/05/2018,Vitoria,Fluminense,1,2,away,0.447,0.23,0.32299999999999995
07/05/2018,Chapecoense-sc,Parana,1,1,draw,0.58,0.27899999999999997,0.14
12/05/2018,Gremio,Internacional,0,0,draw,0.449,0.285,0.267
13/05/2018,Corinthians,Palmeiras,1,0,home,0.32,0.293,0.387
13/05/2018,Vasco DA Gama,Vitoria,2,3,away,0.48700000000000004,0.21,0.303
13/05/2018,Chapecoense-sc,Flamengo,3,2,home,0.29100000000000004,0.321,0.38799999999999996
13/05/2018,Atletico Paranaense,Atletico-MG,1,2,away,0.48700000000000004,0.264,0.25
13/05/2018,Bahia,Sao Paulo,2,2,draw,0.473,0.284,0.243
13/05/2018,Santos,Parana,3,1,home,0.637,0.23600000000000002,0.127
13/05/2018,Cruzeiro,Sport Recife,2,0,home,0.6709999999999999,0.22899999999999998,0.1
14/05/2018,Botafogo,Fluminense,2,1,home,0.303,0.28600000000000003,0.41100000000000003
14/05/2018,Ceara,America Mineiro,2,2,draw,0.526,0.255,0.21899999999999997
19/05/2018,Atletico-MG,Cruzeiro,1,0,home,0.303,0.318,0.379
19/05/2018,Flamengo,Vasco DA Gama,1,1,draw,0.511,0.244,0.245
19/05/2018,Palmeiras,Bahia,3,0,home,0.5920000000000001,0.23600000000000002,0.17300000000000001
20/05/2018,Vitoria,Ceara,2,1,home,0.442,0.22,0.33799999999999997
20/05/2018,America Mineiro,Botafogo,1,0,home,0.395,0.297,0.309
20/05/2018,Parana,Gremio,0,0,draw,0.22899999999999998,0.24600000000000002,0.525
20/05/2018,Sao Paulo,Santos,1,0,home,0.435,0.273,0.292
20/05/2018,Sport Recife,Corinthians,1,1,draw,0.22899999999999998,0.278,0.49200000000000005
20/05/2018,Fluminense,Atletico Paranaense,2,0,home,0.43700000000000006,0.263,0.3
21/05/2018,Internacional,Chapecoense-sc,3,0,home,0.532,0.32,0.14800000000000002
26/05/2018,Palmeiras,Sport Recife,2,3,away,0.713,0.188,0.1
26/05/2018,Atletico-MG,Flamengo,0,1,away,0.42100000000000004,0.282,0.29600000000000004
26/05/2018,Fluminense,Chapecoense-sc,3,1,home,0.5429999999999999,0.26,0.19699999999999998
27/05/2018,Botafogo,Vitoria,1,1,draw,0.489,0.239,0.272
27/05/2018,Parana,Atletico Paranaense,0,0,draw,0.185,0.29600000000000004,0.519
27/05/2018,Bahia,Vasco DA Gama,3,0,home,0.483,0.23600000000000002,0.28
27/05/2018,Ceara,Gremio,0,1,away,0.32,0.24600000000000002,0.434
27/05/2018,Internacional,Corinthians,2,1,home,0.41200000000000003,0.337,0.251
27/05/2018,Santos,Cruzeiro,0,1,away,0.387,0.298,0.314
27/05/2018,America Mineiro,Sao Paulo,1,3,away,0.391,0.305,0.304
30/05/2018,Sao Paulo,Botafogo,3,2,home,0.519,0.273,0.20800000000000002
30/05/2018,Sport Recife,Atletico-MG,3,2,home,0.317,0.268,0.415
30/05/2018,Vasco DA Gama,Parana,1,0,home,0.5329999999999999,0.239,0.228
30/05/2018,Chapecoense-sc,Ceara,2,0,home,0.449,0.27,0.281
30/05/2018,Vitoria,Internacional,2,3,away,0.353,0.259,0.38799999999999996
30/05/2018,Cruzeiro,Palmeiras,1,0,home,0.46299999999999997,0.27699999999999997,0.26
30/05/2018,Gremio,Fluminense,0,0,draw,0.573,0.22899999999999998,0.198
31/05/2018,Flamengo,Bahia,2,0,home,0.565,0.261,0.174
31/05/2018,Corinthians,America Mineiro,1,0,home,0.644,0.25,0.106
31/05/2018,Atletico Paranaense,Santos,2,0,home,0.47,0.276,0.254
02/06/2018,Atletico-MG,Chapecoense-sc,3,3,draw,0.561,0.262,0.177
02/06/2018,Internacional,Sport Recife,0,0,draw,0.64,0.22699999999999998,0.134
02/06/2018,Vasco DA Gama,Botafogo,1,2,away,0.35600000000000004,0.261,0.38299999999999995
02/06/2018,Palmeiras,Sao Paulo,3,1,home,0.44,0.273,0.287
03/06/2018,Bahia,Gremio,0,2,away,0.33,0.27699999999999997,0.39299999999999996
03/06/2018,America Mineiro,Atletico Paranaense,3,1,home,0.337,0.307,0.35600000000000004
03/06/2018,Flamengo,Corinthians,1,0,home,0.48700000000000004,0.301,0.21100000000000002
03/06/2018,Santos,Vitoria,5,2,home,0.52,0.226,0.253
03/06/2018,Ceara,Cruzeiro,0,1,away,0.299,0.29,0.41100000000000003
04/06/2018,Parana,Fluminense,2,1,home,0.289,0.293,0.418
05/06/2018,Sao Paulo,Internacional,0,0,draw,0.385,0.297,0.318
