season,partial,matches,rps_dixon_coles,rps_dixon_coles_all,rps_current,rps_elo,brier_dixon_coles,brier_dixon_coles_all,brier_current,brier_elo,log_loss_dixon_coles,log_loss_dixon_coles_all,log_loss_current,log_loss_elo,diff_c_vs_b,ci_low_c_vs_b,ci_high_c_vs_b,c_wins_vs_b,c_better_than_b,diff_c_vs_a,ci_low_c_vs_a,ci_high_c_vs_a,diff_c_vs_current,ci_low_c_vs_current,ci_high_c_vs_current,c_wins_vs_current,diff_b_vs_a,ci_low_b_vs_a,ci_high_b_vs_a,diff_b_vs_current,ci_low_b_vs_current,ci_high_b_vs_current,dropped_elo,lambda_fallbacks_total,coverage_competitions,coverage_clubs,matches_abc,matches_four_arms
2020,False,377,0.21888518253628708,0.21621596806302779,0.21595519635510813,0.2120498557904976,0.6476029635381262,0.639741812623526,0.6391020301186625,0.6315148151753202,1.0818982029396491,1.0581793467885232,1.0573119777037587,1.0484527815555413,-0.0041661122725301725,-0.008728757745974572,0.00041707696367662613,195,True,-0.0068353267457894875,-0.01312049518315843,-0.0008240638468081928,-0.0039053405646105356,-0.00974815988259431,0.0019852222863031626,206,-0.002669214473259315,-0.006125071078431429,0.0004037516912235259,0.0002607717079196373,-0.0063839322484926546,0.006994114296245347,0,0,"{72: 380, 71: 380, 13: 125, 73: 30, 11: 29}",75,377,377
2021,False,377,0.21414734708800062,0.21031597740393101,0.21195112675546707,0.21036106905053437,0.636964139572562,0.6285022340506264,0.6327743826371071,0.6286221439519007,1.0551465257521913,1.04059490823776,1.050565637683323,1.0398273149529618,4.5091646603348134e-05,-0.0034241755262855154,0.003402387184517663,171,False,-0.0037862780374662845,-0.01039788081641361,0.0026887921456171535,-0.0015900577049326996,-0.008668640206895502,0.005714886187797315,182,-0.0038313696840696332,-0.00850554823461252,0.0007200691495767425,-0.0016351493515360462,-0.008213291017208852,0.005048188075824617,0,0,"{72: 380, 71: 380, 13: 125, 11: 125, 73: 30}",93,377,377
2022,False,377,0.21405172806737702,0.20726276635239121,0.21088637744544672,0.20663916952502523,0.6302669044704701,0.6136587936921026,0.6212049397355426,0.6131895881843225,1.0939234836651448,1.02692606655599,1.0348291180796445,1.0233866177336395,-0.0006235968273660292,-0.0037067391841766805,0.0024830481723421434,158,True,-0.007412558542351816,-0.015168700436926596,-0.000252753103211321,-0.004247207920421508,-0.011319700512721197,0.003041608782088044,195,-0.006788961714985783,-0.013619293402548336,-0.000609149575314909,-0.003623611093055479,-0.010779822348160092,0.0037517919705756775,0,0,"{72: 380, 71: 380, 13: 125, 11: 125, 73: 30}",89,377,377
2023,False,373,0.22428348762964162,0.21879344201596687,0.2200185866367565,0.2169992515818217,0.642836388289032,0.6298827945910377,0.6333942276316847,0.625101076156704,1.0938587670718787,1.049932081477341,1.0534466511397886,1.0454005286220707,-0.0017941904341451467,-0.006408549431468577,0.00267889310724234,177,True,-0.007284236047819861,-0.014920036335597549,-8.247569645978366e-05,-0.003019335054934789,-0.009799143372347056,0.003841691330887002,194,-0.005490045613674713,-0.011054970669876386,-0.0005554280036326926,-0.0012251446207896424,-0.00890762790531043,0.006570981766571029,0,0,"{72: 380, 71: 380, 11: 141, 13: 125, 73: 30}",90,373,373
2024,False,376,0.21654641003388683,0.21087676171395117,0.21426182727410922,0.20948467196828074,0.6276482859919187,0.6150582347172254,0.621818109396418,0.6119109179282185,1.046309516947791,1.0266579082772553,1.03758424129646,1.0207661077563477,-0.0013920897456704167,-0.004804217329861773,0.001890819962567906,179,True,-0.007061738065606046,-0.013869132088217002,-0.0009293962030607499,-0.004777155305828442,-0.01037622194909886,0.0007943963459863481,202,-0.00566964831993563,-0.011184474321788542,-0.0006568322546903153,-0.003385065560158025,-0.009352076932289075,0.002843330577508469,0,0,"{71: 380, 72: 380, 11: 141, 13: 125, 73: 30}",90,376,376
2025,False,374,0.20513553003269266,0.20325039683680465,0.2079049902783583,0.20258909555864826,0.6044171488661813,0.5964801015558528,0.606881538872285,0.5950385983776373,1.0251441293163361,0.9980222704199255,1.0139894240962735,0.996084952754861,-0.00066130127815637,-0.004876073755482717,0.0035898926163321423,183,True,-0.002546434474044401,-0.008722762058080848,0.003826256537058555,-0.00531589471971005,-0.011030728086149215,0.0004317438105209187,208,-0.0018851331958880317,-0.0054948476847095475,0.0015403802187084212,-0.004654593441553679,-0.011621072274979305,0.0024237453234127117,0,0,"{71: 380, 72: 370, 13: 124, 73: 24, 11: 16}",92,374,374
2026,True,241,0.21021820633718832,0.2056737271587007,0.2097623469864263,0.20466594333674906,0.6354500816533742,0.6231400907537059,0.6303279503880476,0.6183520196281019,1.0844128275871383,1.0330234685035429,1.0437605695410113,1.0366038366355241,-0.001007783821951619,-0.005721800939953918,0.0038705529417727732,116,True,-0.005552263000439244,-0.013835413941508376,0.0026027101595486875,-0.005096403649677231,-0.013540071890765865,0.003314205713712991,129,-0.004544479178487625,-0.01078768815388431,0.0009998299977237613,-0.004088619827725613,-0.012331903800253391,0.003910226301237784,0,0,"{72: 267, 71: 249, 11: 131, 13: 114, 73: 24}",91,241,241
