season,adjustment_weight,n_scored,missing,mean_brier,mean_reference_brier,skill,diff_vs_baseline,diff_ci_low,diff_ci_high,beats_baseline
2016,0.3,375,0,0.6054660580867002,0.6094310491665564,0.006506053613905438,0.002202311976448358,-0.0028350223465808937,0.007131793396643053,False
2016,0.4,375,0,0.603948661301475,0.6094310491665564,0.008995911633611464,0.0006849151912232132,-0.0018192824341431984,0.0031287098916090617,False
2016,0.5,375,0,0.6032637461102518,0.6094310491665564,0.01011977165380551,0.0,0.0,0.0,
2016,0.6,375,0,0.6034117788022924,0.6094310491665564,0.009876868552227358,0.00014803269204062777,-0.0022937811620460163,0.002646006598914736,False
2016,0.7,375,0,0.6043967606730724,0.6094310491665564,0.008260636704297997,0.0011330145628205349,-0.0037535138549614783,0.006120871232221728,False
2017,0.3,378,0,0.6489154913016981,0.648758665670023,-0.00024173184879638931,0.0023855975045438574,-0.0025512831512544618,0.007498072594260792,False
2017,0.4,378,0,0.6472725398183502,0.648758665670023,0.0022907221595845906,0.0007426460211959802,-0.0017229900583893873,0.0032808537034090366,False
2017,0.5,378,0,0.6465298937971542,0.648758665670023,0.0034354406203839227,0.0,0.0,0.0,
2017,0.6,378,0,0.6466697905007891,0.648758665670023,0.003219803109799857,0.0001398967036347107,-0.0023987896665351653,0.0026110098435504197,False
2017,0.7,378,0,0.6476756557994358,0.648758665670023,0.0016693570782114753,0.0011457620022813243,-0.003922043391385369,0.0060899096749367256,False
2018,0.3,377,0,0.5934317853660694,0.6005712102397557,0.011887724139883593,0.004172795504748183,-0.0006912572989397188,0.009062167704430682,False
2018,0.4,377,0,0.5908687485215384,0.6005712102397557,0.016155389324013614,0.0016097586602170579,-0.0008075564095474112,0.004025118291393911,False
2018,0.5,377,0,0.5892589898613213,0.6005712102397557,0.018835768657505914,0.0,0.0,0.0,
2018,0.6,377,0,0.5886096109982036,0.6005712102397557,0.01991703737642836,-0.0006493788631176535,-0.0030325562789888516,0.0017288213423976594,True
2018,0.7,377,0,0.5889332507047229,0.6005712102397557,0.019378150894690305,-0.00032573915659833577,-0.005062168027882213,0.004419213372837794,True
2019,0.3,376,0,0.6028125771839231,0.6350044203453763,0.05069546310235784,0.006658937485515908,0.0014731858919149097,0.011889503485090118,False
2019,0.4,376,0,0.5989186465089745,0.6350044203453763,0.05682759470678156,0.0027650068105674326,0.0002019525986410236,0.00536716414018418,False
2019,0.5,376,0,0.5961536396984072,0.6350044203453763,0.061181905829629235,0.0,0.0,0.0,
2019,0.6,376,0,0.5944551911374586,0.6350044203453763,0.06385660935377924,-0.0016984485609485632,-0.004259228316329961,0.0008397502489576525,True
2019,0.7,376,0,0.5937769830617181,0.6350044203453763,0.06492464613275406,-0.0023766566366891333,-0.007469764755753531,0.0027196841914229716,True
2020,0.3,377,0,0.640368623674638,0.6456549740258786,0.008187577830119364,0.0012665935559754303,-0.004408867607360333,0.006861981834951744,False
2020,0.4,377,0,0.6392209283515627,0.6456549740258786,0.009965145368891593,0.00011889823290033907,-0.0027100401398921416,0.002897937675642827,False
2020,0.5,377,0,0.6391020301186625,0.6456549740258786,0.010149296715482925,0.0,0.0,0.0,
2020,0.6,377,0,0.6399905515280526,0.6456549740258786,0.00877314157824316,0.0008885214093901558,-0.001850940727212988,0.003701622780436637,False
2020,0.7,377,0,0.6418701918374478,0.6456549740258786,0.005861926788593319,0.002768161718785245,-0.002684267921518562,0.008358302094017542,False
2021,0.3,377,0,0.6352278446083224,0.6418950821840306,0.010386802704615117,0.0024534619712153222,-0.002617811454522996,0.007593136564558069,False
2021,0.4,377,0,0.6335429817281111,0.6418950821840306,0.013011628672246145,0.0007685990910039965,-0.0017552583466711534,0.0033272749724723256,False
2021,0.5,377,0,0.6327743826371071,0.6418950821840306,0.014209019199665107,0.0,0.0,0.0,
2021,0.6,377,0,0.6329030491103245,0.6418950821840306,0.014008571374485301,0.0001286664732174028,-0.0024185301297969045,0.0026280399648878332,False
2021,0.7,377,0,0.633915841434035,0.6418950821840306,0.01243075538582783,0.001141458796927875,-0.003920851437719253,0.006173670147554452,False
2022,0.3,377,0,0.6204602544651766,0.6477433007340352,0.042120151976779874,-0.0007446852703659808,-0.005670099145480331,0.0042483201780643826,True
2022,0.4,377,0,0.6204188588603078,0.6477433007340352,0.042184059399399176,-0.000786080875234802,-0.0032479359551820814,0.0016941052064176536,True
2022,0.5,377,0,0.6212049397355426,0.6477433007340352,0.04097049088492122,0.0,0.0,0.0,
2022,0.6,377,0,0.6228192191564934,0.6477433007340352,0.03847833169296744,0.0016142794209508698,-0.0008405905922323409,0.004052547084897774,False
2022,0.7,377,0,0.6252706117704901,0.6477433007340352,0.03469381919979497,0.004065672034947496,-0.000845245375500546,0.008919528144737952,False
2023,0.3,373,0,0.6356439150832064,0.6399900484950206,0.006790939049809319,0.00224968745152167,-0.0026161706298814566,0.0071345612011250855,False
2023,0.4,373,0,0.6341015591988781,0.6399900484950206,0.009200907592219032,0.000707331567193449,-0.0017202886091559203,0.0031556975837123244,False
2023,0.5,373,0,0.6333942276316847,0.6399900484950206,0.010306130351317777,0.0,0.0,0.0,
2023,0.6,373,0,0.6335343981310942,0.6399900484950206,0.010087110540401789,0.0001401704994096087,-0.0023091491714321882,0.002566800933785783,False
2023,0.7,373,0,0.6345393865092974,0.6399900484950206,0.008516791782217203,0.001145158877612737,-0.0037600493781897093,0.005996375719659339,False
