season,partial,matches,rps_dixon_coles,rps_dixon_coles_all,rps_current,brier_dixon_coles,brier_dixon_coles_all,brier_current,log_loss_dixon_coles,log_loss_dixon_coles_all,log_loss_current,diff_b_vs_a,ci_low_b_vs_a,ci_high_b_vs_a,b_wins_vs_a,b_better_than_a,diff_b_vs_current,ci_low_b_vs_current,ci_high_b_vs_current,b_wins_vs_current,diff_a_vs_current,ci_low_a_vs_current,ci_high_a_vs_current,a_wins_vs_current,dropped_dixon_coles_all,dropped_missing_current,dropped_missing_dixon_coles,dropped_no_prior_forecast,serie_a_attack_drift_max,serie_a_defence_drift_max,serie_a_attack_drift_median,serie_a_defence_drift_median,coverage_competitions,coverage_clubs
2020,False,377,0.21888518253628708,0.21621596806302779,0.21595519635510813,0.6476029635381262,0.639741812623526,0.6391020301186625,1.0818982029396491,1.0581793467885232,1.0573119777037587,-0.002669214473259323,-0.006125071078431434,0.00040375169122353624,184,True,0.0002607717079196373,-0.0063839322484926546,0.006994114296245347,204,0.0029299861811789584,-0.004264761029108085,0.010273430168297142,202,0,0,0,3,0.0001989899121699658,0.00019701400645058816,0.0,0.0,"{72: 380, 71: 380, 13: 125, 73: 30, 11: 29}",75
2021,False,377,0.2141473470880006,0.21031597740393101,0.21195112675546707,0.6369641395725619,0.6285022340506264,0.6327743826371071,1.055146525752191,1.04059490823776,1.050565637683323,-0.0038313696840695916,-0.008505548234612297,0.00072006914957677,201,True,-0.0016351493515360462,-0.008213291017208852,0.005048188075824617,209,0.002196220332533543,-0.004757850067335476,0.009123314746761502,204,0,0,0,3,0.0007389328150276974,0.0007323855634019184,0.0,0.0,"{72: 380, 71: 380, 13: 125, 11: 125, 73: 30}",93
2022,False,377,0.21405172806737702,0.20726276635239121,0.21088637744544672,0.6302669044704701,0.6136587936921026,0.6212049397355426,1.093923483665145,1.02692606655599,1.0348291180796445,-0.006788961714985773,-0.013619293402548343,-0.0006091495753148959,223,True,-0.003623611093055479,-0.010779822348160092,0.0037517919705756775,230,0.0031653506219302963,-0.004958540938673232,0.011900420229352676,207,0,0,0,3,1.1291827490177041e-07,1.1292436952412627e-07,0.0,0.0,"{72: 380, 71: 380, 13: 125, 11: 125, 73: 30}",89
2023,False,373,0.2242834876296416,0.21879344201596687,0.2200185866367565,0.642836388289032,0.6298827945910377,0.6333942276316847,1.0938587670718787,1.049932081477341,1.0534466511397886,-0.005490045613674722,-0.011054970669876388,-0.0005554280036327047,199,True,-0.0012251446207896424,-0.00890762790531043,0.006570981766571029,209,0.004264900992885082,-0.004999045609876576,0.013616132665106678,196,0,0,0,7,0.00024598808683093317,0.0002460770762667522,0.0,0.0,"{72: 380, 71: 380, 11: 141, 13: 125, 73: 30}",90
2024,False,376,0.21654641003388683,0.21087676171395117,0.21426182727410922,0.6276482859919187,0.6150582347172254,0.621818109396418,1.046309516947791,1.0266579082772553,1.03758424129646,-0.005669648319935632,-0.011184474321788537,-0.0006568322546903135,213,True,-0.003385065560158025,-0.009352076932289075,0.002843330577508469,212,0.0022845827597776066,-0.005304966073337454,0.01050864781069954,198,0,0,0,4,7.218911740561978e-06,7.205616215053157e-06,0.0,0.0,"{71: 380, 72: 380, 11: 141, 13: 125, 73: 30}",90
2025,False,374,0.20513553003269266,0.20325039683680465,0.2079049902783583,0.6044171488661813,0.5964801015558528,0.606881538872285,1.025144129316336,0.9980222704199255,1.0139894240962735,-0.0018851331958880297,-0.0054948476847095536,0.0015403802187084303,187,True,-0.004654593441553679,-0.011621072274979305,0.0024237453234127117,216,-0.0027694602456656506,-0.01057282882259851,0.005403753216763563,206,0,0,0,6,0.0008990881710493329,0.0008982356932738996,0.00010757227274419673,0.00010757466067542174,"{71: 380, 72: 370, 13: 124, 73: 24, 11: 16}",92
2026,True,241,0.2102182063371883,0.2056737271587007,0.2097623469864263,0.6354500816533742,0.6231400907537059,0.6303279503880476,1.0844128275871383,1.0330234685035429,1.0437605695410113,-0.004544479178487625,-0.01078768815388431,0.0009998299977237652,125,True,-0.004088619827725613,-0.012331903800253391,0.003910226301237784,136,0.000455859350762015,-0.009789421381921059,0.010993748619201504,125,0,0,0,8,0.4319226299829347,0.7606489135454186,0.00011961456763205552,0.0001195990249151128,"{72: 267, 71: 249, 11: 131, 13: 114, 73: 24}",91
