date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
09/05/2015,Palmeiras,Atletico-MG,2,2,draw,0.3,0.271,0.429
09/05/2015,Fluminense,Joinville,1,0,home,0.519,0.26,0.221
09/05/2015,Chapecoense-sc,Coritiba,2,1,home,0.48100000000000004,0.264,0.255
10/05/2015,Sao Paulo,Flamengo,2,1,home,0.525,0.243,0.23199999999999998
10/05/2015,Vasco DA Gama,Goias,0,0,draw,0.455,0.262,0.282
10/05/2015,Gremio,Ponte Preta,3,3,draw,0.562,0.27,0.16899999999999998
10/05/2015,Cruzeiro,Corinthians,0,1,away,0.556,0.23,0.214
10/05/2015,Avai,Santos,1,1,draw,0.263,0.254,0.483
10/05/2015,Atletico Paranaense,Internacional,3,0,home,0.35600000000000004,0.284,0.359
10/05/2015,Sport Recife,Figueirense,4,1,home,0.41100000000000003,0.29600000000000004,0.294
16/05/2015,Corinthians,Chapecoense-sc,1,0,home,0.516,0.265,0.218
16/05/2015,Coritiba,Gremio,2,0,home,0.478,0.275,0.247
16/05/2015,Goias,Atletico Paranaense,2,0,home,0.494,0.287,0.21899999999999997
17/05/2015,Santos,Cruzeiro,1,0,home,0.444,0.253,0.303
17/05/2015,Ponte Preta,Sao Paulo,1,0,home,0.337,0.239,0.424
17/05/2015,Flamengo,Sport Recife,2,2,draw,0.552,0.24600000000000002,0.20199999999999999
17/05/2015,Internacional,Avai,1,0,home,0.626,0.22699999999999998,0.147
17/05/2015,Atletico-MG,Fluminense,4,1,home,0.608,0.209,0.182
17/05/2015,Figueirense,Vasco DA Gama,0,0,draw,0.485,0.26899999999999996,0.24600000000000002
17/05/2015,Joinville,Palmeiras,0,0,draw,0.382,0.316,0.302
23/05/2015,Sao Paulo,Joinville,3,0,home,0.6659999999999999,0.248,0.086
23/05/2015,Vasco DA Gama,Internacional,1,1,draw,0.43200000000000005,0.273,0.295
23/05/2015,Gremio,Figueirense,1,0,home,0.509,0.29600000000000004,0.19399999999999998
24/05/2015,Palmeiras,Goias,0,1,away,0.504,0.266,0.23
24/05/2015,Fluminense,Corinthians,0,0,draw,0.364,0.247,0.389
24/05/2015,Cruzeiro,Ponte Preta,1,1,draw,0.617,0.21100000000000002,0.172
24/05/2015,Avai,Flamengo,2,1,home,0.281,0.264,0.455
24/05/2015,Atletico Paranaense,Atletico-MG,1,0,home,0.268,0.265,0.467
24/05/2015,Sport Recife,Coritiba,1,0,home,0.455,0.254,0.29100000000000004
24/05/2015,Chapecoense-sc,Santos,1,0,home,0.39899999999999997,0.28600000000000003,0.315
