season,lookback,n_scored,missing,mean_brier,mean_reference_brier,skill,diff_vs_baseline,diff_ci_low,diff_ci_high,beats_baseline
2016,8,375,0,0.6149035359999999,0.6094310491665564,-0.008979665281129812,0.012339971413333331,0.0043711379679999916,0.020436976138666654,False
2016,12,375,0,0.60786518016,0.6094310491665564,0.0025693948621388074,0.005301615573333329,0.0004700829759999968,0.010333301178666663,False
2016,19,375,0,0.6025635645866667,0.6094310491665564,0.011268681812785064,0.0,0.0,0.0,
2016,26,375,0,0.6014520584533333,0.6094310491665564,0.013092524124156513,-0.0011115061333333283,-0.004855334330666664,0.002679426672000007,True
2017,8,378,0,0.6533661456084656,0.648758665670023,-0.0071019936723066834,0.0066096520634920655,-0.0025746121269841285,0.015588093873015874,False
2017,12,378,0,0.6545100256084656,0.648758665670023,-0.008865176286320109,0.0077535320634920584,0.001990805814814808,0.01349861044973544,False
2017,19,378,0,0.6467564935449734,0.648758665670023,0.0030861585840734618,0.0,0.0,0.0,
2017,26,378,0,0.6431862438095238,0.648758665670023,0.008589360197207019,-0.003570249735449737,-0.007787253126984127,0.0006045614126984156,True
2018,8,377,0,0.5886930334217507,0.6005712102397557,0.019778132243906676,0.00030850822281166537,-0.007478195771883296,0.008041856366047737,False
2018,12,377,0,0.5879782168700266,0.6005712102397557,0.020968360046266232,-0.00040630832891247384,-0.005451580164456245,0.004708385220159142,True
2018,19,377,0,0.588384525198939,0.6005712102397557,0.020291823572348044,0.0,0.0,0.0,
2018,26,377,0,0.5926536863660478,0.6005712102397557,0.013183322374955564,0.004269161167108747,-4.699336339523125e-05,0.008427365522546412,False
2019,8,376,0,0.6030131582978724,0.6350044203453763,0.05037958953120991,0.007341609999999999,-0.0003832194734042491,0.015197070414893607,False
2019,12,376,0,0.5977828608510638,0.6350044203453763,0.058616221087197884,0.0021113125531914915,-0.002727080707446806,0.0070302557765957435,False
2019,19,376,0,0.5956715482978724,0.6350044203453763,0.061941099600709704,0.0,0.0,0.0,
2019,26,376,0,0.5989125723404255,0.6350044203453763,0.05683716025995633,0.003241024042553194,-0.0007446234308510544,0.007142046920212771,False
2020,8,377,0,0.6529528112466844,0.6456549740258786,-0.011302998527683128,0.01372024127320955,0.005962326657824935,0.02177004759681697,False
2020,12,377,0,0.6449289001591512,0.6456549740258786,0.0011245539737734234,0.005696330185676396,0.0005490253527851537,0.011078682668435015,False
2020,19,377,0,0.6392325699734749,0.6456549740258786,0.009947114652207878,0.0,0.0,0.0,
2020,26,377,0,0.6362285445092838,0.6456549740258786,0.014599793846267084,-0.0030040254641909812,-0.006981316572944287,0.0009626347692307656,True
2021,8,377,0,0.6352192763925729,0.6418950821840306,0.010400151016492276,0.0020815119363395266,-0.006417283363395226,0.010822775066313005,False
2021,12,377,0,0.6356415348541115,0.6418950821840306,0.009742320051185915,0.002503770397877987,-0.003127599469496013,0.008189065145888599,False
2021,19,377,0,0.6331377644562334,0.6418950821840306,0.013642911389818768,0.0,0.0,0.0,
2021,26,377,0,0.630923275331565,0.6418950821840306,0.01709283519533178,-0.0022144891246684314,-0.005967969379310345,0.0016023054323607384,True
2022,8,377,0,0.6238233326259948,0.6477433007340352,0.036928159783256476,0.0019745364456233436,-0.005599387660477463,0.009773920870026528,False
2022,12,377,0,0.6207268863660478,0.6477433007340352,0.04170851992968805,-0.001121909814323605,-0.0063917785994695026,0.0042955465039787874,True
2022,19,377,0,0.6218487961803714,0.6477433007340352,0.03997649149643023,0.0,0.0,0.0,
2022,26,377,0,0.6245531216976128,0.6477433007340352,0.035801495762507796,0.0027043255172413795,-0.0016118118885941615,0.006979388159151197,False
2023,8,373,0,0.6437597252546916,0.6399900484950206,-0.005890211525219291,0.009025440857908839,0.00029244060053619113,0.017902744777479888,False
2023,12,373,0,0.638021796461126,0.6399900484950206,0.0030754416236987714,0.003287512064343166,-0.0020805562305629952,0.008878288461126005,False
2023,19,373,0,0.6347342843967828,0.6399900484950206,0.008212259097773567,0.0,0.0,0.0,
2023,26,373,0,0.6310028898659518,0.6399900484950206,0.01404265371032365,-0.003731394530831101,-0.008002944369973196,0.00038827541018765906,True
2024,8,376,0,0.6311463178723404,0.6361170212765956,0.007814133623212483,0.00875729999999999,0.00046371040957446065,0.016935093510638294,False
2024,12,376,0,0.6264352206382978,0.6361170212765956,0.015220156534827223,0.004046202765957434,-0.0012181318297872419,0.009368204175531915,False
2024,19,376,0,0.6223890178723405,0.6361170212765956,0.021580940212392097,0.0,0.0,0.0,
2024,26,376,0,0.622538824893617,0.6361170212765956,0.021345437912868803,0.0001498070212765892,-0.003618999643617021,0.003802185537234027,False
2025,8,374,0,0.6146616466310161,0.6248475713629698,0.016301455264898124,0.007964346524064162,-0.0008368887379679286,0.016800869967914436,False
2025,12,374,0,0.6112365634224599,0.6248475713629698,0.021782925251386365,0.004539263315508016,-0.0010401711229946586,0.010261694208556145,False
2025,19,374,0,0.6066973001069519,0.6248475713629698,0.029047518287423246,0.0,0.0,0.0,
2025,26,374,0,0.6052242607486631,0.6248475713629698,0.03140495620636352,-0.0014730393582887743,-0.005670127909090907,0.0026363830534759285,True
