fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1332504,,UTC,2025-02-22T21:30:00+00:00,1740259800,,,238,Estádio Alberto Oliveira,"Feira de Santana, Bahia",Match Cancelled,CANC,,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 9,15106,Colo Colo,https://media.api-sports.io/football/teams/15106.png,,7858,Jacobina,https://media.api-sports.io/football/teams/7858.png,,,,,,,,,,,
1316005,Emerson Souza Silva,UTC,2025-01-11T19:00:00+00:00,1736622000,1736622000,1736625600,281,Estádio Manoel Barradas,"Salvador, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 1,136,Vitoria,https://media.api-sports.io/football/teams/136.png,,15103,Barcelona BA,https://media.api-sports.io/football/teams/15103.png,,0,0,0,0,0,0,,,,
1316001,José Lourenço Assis dos Santos Conceição,UTC,2025-01-11T21:30:00+00:00,1736631000,1736631000,1736634600,,Estádio Municipal Antônio Carneiro da Silva,"Quissamã, Rio de Janeiro",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 1,9997,Atlético Alagoinhas,https://media.api-sports.io/football/teams/9997.png,,15106,Colo Colo,https://media.api-sports.io/football/teams/15106.png,,2,2,0,0,2,2,,,,
1316002,Luis Felipe Cabral da Silva Santos,UTC,2025-01-12T00:00:00+00:00,1736640000,1736640000,1736643600,22795,Estádio Municipal Agnaldo Bento Santos,"Porto Seguro, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 1,23591,Porto BA,https://media.api-sports.io/football/teams/23591.png,True,7858,Jacobina,https://media.api-sports.io/football/teams/7858.png,False,2,0,1,0,2,0,,,,
1316003,Ricarle Gustavo Gonçalves Batista,UTC,2025-01-12T19:00:00+00:00,1736708400,1736708400,1736712000,7041,Estádio Antônio de Figueiredo Carneiro,"Alagoinhas, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 1,7831,Jacuipense,https://media.api-sports.io/football/teams/7831.png,,118,Bahia,https://media.api-sports.io/football/teams/118.png,,0,0,0,0,0,0,,,,
1316004,Geraldo dos Santos Souza,UTC,2025-01-12T21:30:00+00:00,1736717400,1736717400,1736721000,18552,Estádio Waldomiro Borges,"Jequié, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 1,15104,Jequié,https://media.api-sports.io/football/teams/15104.png,False,1224,Juazeirense,https://media.api-sports.io/football/teams/1224.png,True,0,1,0,1,0,1,,,,
1316006,Wagner Francisco Silva Souza,UTC,2025-01-14T22:15:00+00:00,1736892900,1736892900,1736896500,18552,Estádio Waldomiro Borges,"Jequié, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 2,15106,Colo Colo,https://media.api-sports.io/football/teams/15106.png,,23591,Porto BA,https://media.api-sports.io/football/teams/23591.png,,0,0,0,0,0,0,,,,
1316007,Diego Pombo Lopez,UTC,2025-01-15T22:15:00+00:00,1736979300,1736979300,1736982900,216,Arena Fonte Nova,"Salvador, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 2,15103,Barcelona BA,https://media.api-sports.io/football/teams/15103.png,,15104,Jequié,https://media.api-sports.io/football/teams/15104.png,,0,0,0,0,0,0,,,,
1316009,Emerson Ricardo de Almeida Andrade,UTC,2025-01-16T00:30:00+00:00,1736987400,1736987400,1736991000,272,Estádio Adauto Moraes,"Juazeiro, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 2,1224,Juazeirense,https://media.api-sports.io/football/teams/1224.png,False,136,Vitoria,https://media.api-sports.io/football/teams/136.png,True,1,4,0,1,1,4,,,,
1316010,Josué Reis de Jesus Júnio,UTC,2025-01-16T22:15:00+00:00,1737065700,1737065700,1737069300,5682,Estádio Municipal José Rocha,"Jacobina, Bahia",Match Finished,FT,90.0,602,Baiano - 1,Brazil,https://media.api-sports.io/football/leagues/602.png,https://media.api-sports.io/flags/br.svg,2025,1st Phase - 2,7858,Jacobina,https://media.api-sports.io/football/teams/7858.png,False,7831,Jacuipense,https://media.api-sports.io/football/teams/7831.png,True,0,1,0,0,0,1,,,,
