fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
190448,,UTC,2014-04-19T21:30:00+00:00,1397943000,1397943000.0,1397946600.0,,"Estádio José Pinheiro Borba (Beira-Rio) (Porto Alegre, Rio Grande do Sul)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,119,Internacional,https://media.api-sports.io/football/teams/119.png,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
190447,,UTC,2014-04-19T21:30:00+00:00,1397943000,1397943000.0,1397946600.0,,"Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro, Rio de Janeiro)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,124,Fluminense,https://media.api-sports.io/football/teams/124.png,True,137,Figueirense,https://media.api-sports.io/football/teams/137.png,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,,,,
190449,,UTC,2014-04-20T00:00:00+00:00,1397952000,1397952000.0,1397955600.0,,"Estádio Regional Índio Condá (Chapecó, Santa Catarina)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,132,Chapecoense-sc,https://media.api-sports.io/football/teams/132.png,,147,Coritiba,https://media.api-sports.io/football/teams/147.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
190453,,UTC,2014-04-20T19:00:00+00:00,1398020400,1398020400.0,1398024000.0,,"Itaipava Arena Fonte Nova (Salvador, Bahia)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,118,Bahia,https://media.api-sports.io/football/teams/118.png,False,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,1.0,2.0,0.0,0.0,1.0,2.0,,,,,,,
190450,,UTC,2014-04-20T19:00:00+00:00,1398020400,1398020400.0,1398024000.0,,"Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo, São Paulo)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,120,Botafogo,https://media.api-sports.io/football/teams/120.png,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,,,,
190451,,UTC,2014-04-20T19:00:00+00:00,1398020400,1398020400.0,1398024000.0,,"Estádio Orlando Scarpelli (Florianópolis, Santa Catarina)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
190452,,UTC,2014-04-20T19:00:00+00:00,1398020400,1398020400.0,1398024000.0,,"Estádio Municipal João Havelange (Uberlândia, Minas Gerais)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
190454,,UTC,2014-04-20T21:30:00+00:00,1398029400,1398029400.0,1398033000.0,,"Estádio Nacional de Brasília (Brasília, Distrito Federal)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,127,Flamengo,https://media.api-sports.io/football/teams/127.png,,151,Goias,https://media.api-sports.io/football/teams/151.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
190455,,UTC,2014-04-20T21:30:00+00:00,1398029400,1398029400.0,1398033000.0,,"Estádio Urbano Caldeira (Santos, São Paulo)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,128,Santos,https://media.api-sports.io/football/teams/128.png,,123,Sport Recife,https://media.api-sports.io/football/teams/123.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,
190456,,UTC,2014-04-20T21:30:00+00:00,1398029400,1398029400.0,1398033000.0,,"Estádio Heriberto Hülse (Criciúma, Santa Catarina)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2014,Regular Season - 1,140,Criciuma,https://media.api-sports.io/football/teams/140.png,False,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,,,,
