fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
66218066673,,UTC,2009-05-09T18:30:00+00:00,1241893800,1241893800.0,1241897400.0,,Ressacada,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,145,Avai,,,1062,Atletico-MG,,,2.0,2.0,,,,,,,,,,True,
24790808852,,UTC,2009-05-09T18:30:00+00:00,1241893800,1241893800.0,1241897400.0,,Ilha do Retiro,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,123,Sport Recife,,,171197,Barueri,,,1.0,1.0,,,,,,,,,,True,
9595881181,,UTC,2009-05-09T18:30:00+00:00,1241893800,1241893800.0,1241897400.0,,Palestra Itália,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,121,Palmeiras,,True,147,Coritiba,,False,2.0,1.0,,,,,,,,,,True,
36740804577,,UTC,2009-05-10T18:30:00+00:00,1241980200,1241980200.0,1241983800.0,,Bruno José Daniel,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,834175,Santo André,,,120,Botafogo,,,1.0,1.0,,,,,,,,,,True,
63489528909,,UTC,2009-05-10T18:30:00+00:00,1241980200,1241980200.0,1241983800.0,,Serra Dourada,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,151,Goias,,,755,Nautico Recife,,,3.0,3.0,,,,,,,,,,True,
43796346307,,UTC,2009-05-10T18:30:00+00:00,1241980200,1241980200.0,1241983800.0,,Olímpico Monumental,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,130,Gremio,,,128,Santos,,,1.0,1.0,,,,,,,,,,True,
11013738668,,UTC,2009-05-10T16:00:00+00:00,1241971200,1241971200.0,1241974800.0,,Mineirão,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,135,Cruzeiro,,True,127,Flamengo,,False,2.0,0.0,,,,,,,,,,True,
8550804408,,UTC,2009-05-10T16:00:00+00:00,1241971200,1241971200.0,1241974800.0,,Maracanã,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,124,Fluminense,,True,126,Sao Paulo,,False,1.0,0.0,,,,,,,,,,True,
75383077807,,UTC,2009-05-10T16:00:00+00:00,1241971200,1241971200.0,1241974800.0,,Pacaembu,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,131,Corinthians,,False,119,Internacional,,True,0.0,1.0,,,,,,,,,,True,
73574366271,,UTC,2009-05-10T16:00:00+00:00,1241971200,1241971200.0,1241974800.0,,Arena da Baixada,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 1,134,Atletico Paranaense,,False,136,Vitoria,,True,0.0,2.0,,,,,,,,,,True,
71685262593,,UTC,2009-05-16T18:30:00+00:00,1242498600,1242498600.0,1242502200.0,,Maracanã,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,127,Flamengo,,,145,Avai,,,0.0,0.0,,,,,,,,,,True,
362654901,,UTC,2009-05-16T18:30:00+00:00,1242498600,1242498600.0,1242502200.0,,Mineirão,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,1062,Atletico-MG,,True,130,Gremio,,False,2.0,1.0,,,,,,,,,,True,
28961549220,,UTC,2009-05-16T18:30:00+00:00,1242498600,1242498600.0,1242502200.0,,Couto Pereira,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,147,Coritiba,,False,834175,Santo André,,True,2.0,4.0,,,,,,,,,,True,
36053560563,,UTC,2009-05-17T16:00:00+00:00,1242576000,1242576000.0,1242579600.0,,Morumbi,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,126,Sao Paulo,,,134,Atletico Paranaense,,,2.0,2.0,,,,,,,,,,True,
48968450990,,UTC,2009-05-17T18:30:00+00:00,1242585000,1242585000.0,1242588600.0,,Engenhão,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,120,Botafogo,,,131,Corinthians,,,0.0,0.0,,,,,,,,,,True,
45236265849,,UTC,2009-05-17T16:00:00+00:00,1242576000,1242576000.0,1242579600.0,,Arena Barueri,,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2009,Regular Season - 2,171197,Barueri,,,124,Fluminense,,,0.0,0.0,,,,,,,,,,True,
