fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
191927,,UTC,2010-05-08T21:30:00+00:00,1273354200,,,,Estádio Olímpico João Havelange (Rio de Janeiro),,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,120,Botafogo,https://media.api-sports.io/football/teams/120.png,,128,Santos,https://media.api-sports.io/football/teams/128.png,,3.0,3.0,2.0,2.0,3.0,3.0,,,,,,,
191928,,UTC,2010-05-08T21:30:00+00:00,1273354200,,,,"Estádio do Governo do Estado de Goiás (Serra Dourada) (Goiânia, Goiás)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,,130,Gremio,https://media.api-sports.io/football/teams/130.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
191929,,UTC,2010-05-08T21:35:00+00:00,1273354500,,,,"Estádio Palestra Itália (São Paulo, São Paulo)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
191930,,UTC,2010-05-09T19:00:00+00:00,1273431600,,,,"Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro, Rio de Janeiro)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,127,Flamengo,https://media.api-sports.io/football/teams/127.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,
191931,,UTC,2010-05-09T19:00:00+00:00,1273431600,,,,"Estádio Governador Magalhães Pinto (Belo Horizonte, Minas Gerais)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,False,2.0,1.0,2.0,0.0,2.0,1.0,,,,,,,
191932,,UTC,2010-05-09T19:00:00+00:00,1273431600,,,,"Estádio José Pinheiro Borba (Beira-Rio) (Porto Alegre, Rio Grande do Sul)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,119,Internacional,https://media.api-sports.io/football/teams/119.png,False,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,
191933,,UTC,2010-05-09T19:00:00+00:00,1273431600,,,,"Estádio Municipal Paulo Machado de Carvalho (São Paulo, São Paulo)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,131,Corinthians,https://media.api-sports.io/football/teams/131.png,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,False,2.0,1.0,0.0,1.0,2.0,1.0,,,,,,,
191934,,UTC,2010-05-09T21:30:00+00:00,1273440600,,,,"Estádio Governador Plácido Aderaldo Castelo (Fortaleza, Ceará)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,129,Ceara,https://media.api-sports.io/football/teams/129.png,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
191935,,UTC,2010-05-09T21:30:00+00:00,1273440600,,,,"Estádio Brinco de Ouro da Princesa (Campinas, São Paulo)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,True,151,Goias,https://media.api-sports.io/football/teams/151.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
191936,,UTC,2010-05-09T21:30:00+00:00,1273440600,,,,"Estádio Aderbal Ramos da Silva (Florianópolis, Santa Catarina)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 1,145,Avai,https://media.api-sports.io/football/teams/145.png,True,4655,Grêmio Barueri,https://media.api-sports.io/football/teams/4655.png,False,6.0,1.0,2.0,1.0,6.0,1.0,,,,,,,
192287,,UTC,2010-05-15T21:30:00+00:00,1273959000,,,,"Estádio Manoel Barradas (Salvador, Bahia)",,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2010,Regular Season - 2,136,Vitoria,https://media.api-sports.io/football/teams/136.png,,127,Flamengo,https://media.api-sports.io/football/teams/127.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,
