type,date,team,n_simulations
brasileirao_relegation,2025-09-15,RB Bragantino,27
brasileirao_relegation,2025-09-15,Corinthians,19
brasileirao_relegation,2025-09-15,Sao Paulo,1
brasileirao_title,2025-09-17,Palmeiras,276
brasileirao_title,2025-09-17,Flamengo,527
brasileirao_title,2025-09-17,Cruzeiro,84
brasileirao_title,2025-09-17,Bahia,2
brasileirao_title,2025-09-17,Mirassol,8
brasileirao_title,2025-09-17,Botafogo,3
brasileirao_relegation,2025-09-17,Atletico-MG,75
brasileirao_relegation,2025-09-17,Fortaleza EC,679
brasileirao_relegation,2025-09-17,Juventude,606
brasileirao_relegation,2025-09-17,Sport Recife,879
brasileirao_relegation,2025-09-17,Ceara,126
brasileirao_relegation,2025-09-17,Vitoria,457
brasileirao_relegation,2025-09-17,Santos,336
brasileirao_relegation,2025-09-17,RB Bragantino,24
brasileirao_relegation,2025-09-17,Vasco DA Gama,176
brasileirao_relegation,2025-09-17,Corinthians,26
brasileirao_relegation,2025-09-17,Gremio,154
brasileirao_relegation,2025-09-17,Internacional,35
brasileirao_relegation,2025-09-17,Fluminense,27
brasileirao_title,2025-09-20,Cruzeiro,69
brasileirao_title,2025-09-20,Flamengo,487
brasileirao_title,2025-09-20,Palmeiras,336
brasileirao_title,2025-09-20,Mirassol,5
brasileirao_title,2025-09-20,Botafogo,2
brasileirao_title,2025-09-20,Bahia,1
brasileirao_relegation,2025-09-20,Vasco DA Gama,140
brasileirao_relegation,2025-09-20,RB Bragantino,28
brasileirao_relegation,2025-09-20,Fortaleza EC,683
brasileirao_relegation,2025-09-20,Sport Recife,869
brasileirao_relegation,2025-09-20,Santos,309
brasileirao_relegation,2025-09-20,Vitoria,619
brasileirao_relegation,2025-09-20,Juventude,561
brasileirao_relegation,2025-09-20,Ceara,111
brasileirao_relegation,2025-09-20,Gremio,119
brasileirao_relegation,2025-09-20,Atletico-MG,106
brasileirao_relegation,2025-09-20,Internacional,34
brasileirao_relegation,2025-09-20,Fluminense,7
brasileirao_relegation,2025-09-20,Corinthians,14
brasileirao_title,2025-09-21,Flamengo,372
brasileirao_title,2025-09-21,Palmeiras,406
brasileirao_title,2025-09-21,Cruzeiro,106
brasileirao_title,2025-09-21,Mirassol,10
brasileirao_title,2025-09-21,Botafogo,5
brasileirao_title,2025-09-21,Bahia,1
brasileirao_relegation,2025-09-21,Vasco DA Gama,155
brasileirao_relegation,2025-09-21,Vitoria,643
brasileirao_relegation,2025-09-21,Juventude,632
brasileirao_relegation,2025-09-21,Fortaleza EC,695
brasileirao_relegation,2025-09-21,Atletico-MG,93
brasileirao_relegation,2025-09-21,Sport Recife,833
brasileirao_relegation,2025-09-21,Corinthians,34
brasileirao_relegation,2025-09-21,Ceara,112
brasileirao_relegation,2025-09-21,Santos,224
brasileirao_relegation,2025-09-21,Internacional,76
brasileirao_relegation,2025-09-21,RB Bragantino,37
brasileirao_relegation,2025-09-21,Gremio,57
brasileirao_relegation,2025-09-21,Fluminense,7
brasileirao_relegation,2025-09-21,Sao Paulo,2
brasileirao_title,2025-09-24,Flamengo,398
brasileirao_title,2025-09-24,Palmeiras,388
brasileirao_title,2025-09-24,Cruzeiro,107
brasileirao_title,2025-09-24,Mirassol,5
brasileirao_title,2025-09-24,Botafogo,2
brasileirao_relegation,2025-09-24,Vitoria,672
brasileirao_relegation,2025-09-24,Juventude,683
brasileirao_relegation,2025-09-24,Santos,192
brasileirao_relegation,2025-09-24,Sport Recife,833
brasileirao_relegation,2025-09-24,Ceara,129
brasileirao_relegation,2025-09-24,RB Bragantino,43
brasileirao_relegation,2025-09-24,Fortaleza EC,715
brasileirao_relegation,2025-09-24,Atletico-MG,116
brasileirao_relegation,2025-09-24,Gremio,42
brasileirao_relegation,2025-09-24,Internacional,53
brasileirao_relegation,2025-09-24,Vasco DA Gama,79
brasileirao_relegation,2025-09-24,Corinthians,34
brasileirao_relegation,2025-09-24,Fluminense,9
brasileirao_title,2025-09-27,Flamengo,448
brasileirao_title,2025-09-27,Palmeiras,401
brasileirao_title,2025-09-27,Cruzeiro,43
brasileirao_title,2025-09-27,Botafogo,5
brasileirao_title,2025-09-27,Mirassol,3
brasileirao_relegation,2025-09-27,Vitoria,710
brasileirao_relegation,2025-09-27,Juventude,727
brasileirao_relegation,2025-09-27,Sport Recife,866
brasileirao_relegation,2025-09-27,Fortaleza EC,659
brasileirao_relegation,2025-09-27,Santos,213
brasileirao_relegation,2025-09-27,Corinthians,30
brasileirao_relegation,2025-09-27,Gremio,53
brasileirao_relegation,2025-09-27,Ceara,119
brasileirao_relegation,2025-09-27,RB Bragantino,63
brasileirao_relegation,2025-09-27,Internacional,65
brasileirao_relegation,2025-09-27,Vasco DA Gama,31
brasileirao_relegation,2025-09-27,Atletico-MG,53
brasileirao_relegation,2025-09-27,Fluminense,10
brasileirao_relegation,2025-09-27,Sao Paulo,1
brasileirao_title,2025-09-28,Flamengo,579
brasileirao_title,2025-09-28,Palmeiras,269
brasileirao_title,2025-09-28,Cruzeiro,49
brasileirao_title,2025-09-28,Botafogo,1
brasileirao_title,2025-09-28,Mirassol,2
brasileirao_relegation,2025-09-28,Santos,172
brasileirao_relegation,2025-09-28,Fortaleza EC,668
brasileirao_relegation,2025-09-28,Vitoria,768
brasileirao_relegation,2025-09-28,Sport Recife,861
brasileirao_relegation,2025-09-28,Juventude,713
brasileirao_relegation,2025-09-28,Ceara,144
brasileirao_relegation,2025-09-28,Atletico-MG,47
brasileirao_relegation,2025-09-28,Gremio,19
brasileirao_relegation,2025-09-28,Corinthians,47
brasileirao_relegation,2025-09-28,Internacional,71
