fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,fixture_status_extra,league_standings,chave
94852,José Mendonça,UTC,2019-04-26T22:15:00+00:00,1556316900,1556316900.0,1556320500.0,,Bento Mendes de Freitas,Pelotas,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,141,Brasil DE Pelotas,https://media.api-sports.io/football/teams/141.png,False,794,Bragantino,https://media.api-sports.io/football/teams/794.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,
94857,Willian Machado Steffens,UTC,2019-04-26T22:15:00+00:00,1556316900,1556316900.0,1556320500.0,,"Estádio Germano Krüger (Ponta Grossa, Paraná)",,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,1223,Operario-PR,https://media.api-sports.io/football/teams/1223.png,True,125,America Mineiro,https://media.api-sports.io/football/teams/125.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
94859,Felipe Fernandes de Lima,UTC,2019-04-27T00:30:00+00:00,1556325000,1556325000.0,1556328600.0,,Ilha do Retiro,Recife,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,123,Sport Recife,https://media.api-sports.io/football/teams/123.png,,143,Oeste,https://media.api-sports.io/football/teams/143.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,
94858,Vinicius Gomes,UTC,2019-04-27T00:30:00+00:00,1556325000,1556325000.0,1556328600.0,,Estádio Municipal Walter Ribeiro,Sorocaba,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,156,Sao Bento,https://media.api-sports.io/football/teams/156.png,False,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,True,1.0,3.0,0.0,1.0,1.0,3.0,,,,,,,
94851,Pathrice Wallace Correa Maia,UTC,2019-04-27T14:00:00+00:00,1556373600,1556373600.0,1556377200.0,,"Estádio Santa Cruz (Ribeirão Preto, São Paulo)",,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,3.0,1.0,0.0,0.0,3.0,1.0,,,,,,,
94856,Luis César De Oliveira Magalhães,UTC,2019-04-27T19:30:00+00:00,1556393400,1556393400.0,1556397000.0,,Estádio Brinco de Ouro da Princesa,Campinas,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,,137,Figueirense,https://media.api-sports.io/football/teams/137.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
94855,Edina Alves Batista,UTC,2019-04-27T19:30:00+00:00,1556393400,1556393400.0,1556397000.0,,Estadio Heriberto Hülse,Criciuma,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,140,Criciuma,https://media.api-sports.io/football/teams/140.png,False,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
94860,Antonio Dib Moraes de Sousa,UTC,2019-04-28T00:00:00+00:00,1556409600,1556409600.0,1556413200.0,,Serra Dourada,Goiania,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,142,Vila Nova,https://media.api-sports.io/football/teams/142.png,,122,Parana,https://media.api-sports.io/football/teams/122.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,
94854,Jose Claudio Rocha Filho,UTC,2019-04-28T19:00:00+00:00,1556478000,1556478000.0,1556481600.0,,Estádio Rei Pelé,Maceio,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,146,CRB,https://media.api-sports.io/football/teams/146.png,False,148,Londrina,https://media.api-sports.io/football/teams/148.png,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,
94853,Ronei Candido Alves,UTC,2019-04-29T23:00:00+00:00,1556578800,1556578800.0,1556582400.0,,Estádio Couto Pereira,Curitiba,Match Finished,FT,90.0,72,Serie B,Brazil,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,2019,Regular Season - 1,147,Coritiba,https://media.api-sports.io/football/teams/147.png,True,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,False,2.0,0.0,2.0,0.0,2.0,0.0,,,,,,,
